Timestamp_Local, NodeID, ax   , ay   , az   , gx    , gy   , gz          , Timestamp_Node
Sensor1        , -1087 , -802 , 4474 , -2087, -1769 , 2304 , 00:04:736000, 
Sensor1        , -2090 , -329 , 4485 , -2141, -656  , 1012 , 00:04:845000, 
Sensor1        , -1803 , -811 , 3878 , -1213, -1677 , -268 , 00:04:950000, 
Sensor1        , -2530 , -498 , 5880 , -275 , -886  , -585 , 00:05:055000, 
Sensor1        , 2020  , -2308, 2167 , -297 , -290  , -1793, 00:05:160000, 
Sensor1        , 320   , -2594, 3924 , -129 , 740   , -966 , 00:05:265000, 
Sensor1        , 298   , -2313, 3244 , -3461, -1352 , -1828, 00:05:370000, 
Sensor1        , 580   , -2686, 2670 , -95  , 791   , -792 , 00:05:475000, 
Sensor1        , 1110  , -2904, 3493 , 607  , 1080  , -462 , 00:05:579000, 
Sensor1        , 140   , -2428, 4441 , -66  , 666   , -228 , 00:05:684000, 
Sensor1        , 676   , -2285, 3390 , -329 , 118   , -449 , 00:05:789000, 
Sensor1        , 552   , -2532, 3489 , -583 , -299  , -895 , 00:05:894000, 
Sensor1        , 551   , -2840, 3653 , -251 , -224  , -1245, 00:05:998000, 
Sensor1        , 694   , -2721, 3504 , 200  , -61   , -924 , 00:06:103000, 
Sensor1        , 570   , -2652, 3633 , 255  , 82    , -599 , 00:06:208000, 
Sensor1        , 931   , -2699, 3407 , 339  , 206   , -677 , 00:06:313000, 
Sensor1        , 803   , -2628, 3572 , 52   , -159  , -472 , 00:06:418000, 
Sensor1        , 1564  , -2647, 3841 , 147  , -462  , -431 , 00:06:523000, 
Sensor1        , 716   , -2162, 3495 , -395 , -291  , 426  , 00:06:627000, 
Sensor1        , 854   , -2379, 3986 , -29  , -102  , -11  , 00:06:732000, 
Sensor1        , 814   , -2329, 3693 , -407 , 219   , 93   , 00:06:837000, 
Sensor1        , 800   , -2286, 3611 , -167 , 476   , -92  , 00:06:942000, 
Sensor1        , 793   , -2401, 3804 , -70  , 249   , -302 , 00:07:046000, 
Sensor1        , 338   , -2341, 3439 , -125 , 1068  , -47  , 00:07:151000, 
Sensor1        , 346   , -2387, 3789 , 85   , 240   , -655 , 00:07:256000, 
Sensor1        , 1040  , -2544, 3921 , -1793, -1222 , -1224, 00:07:361000, 
Sensor1        , 1685  , -2130, 5526 , -3840, -464  , -1123, 00:07:465000, 
Sensor1        , 1897  , -3037, 2368 , -2977, 1534  , 4034 , 00:07:570000, 
Sensor1        , 227   , -3725, 1535 , -1735, 1156  , 3008 , 00:07:675000, 
Sensor1        , 246   , -3973, 660  , -2690, -200  , 169  , 00:07:780000, 
Sensor1        , -90   , -4431, 238  , -2039, 351   , 37   , 00:07:885000, 
Sensor1        , -1188 , -3221, -2346, -1946, 101   , -1408, 00:07:990000, 
Sensor1        , 3767  , -4189, 4753 , 1479 , 1401  , -4941, 00:08:095000, 
Sensor1        , 2845  , -3978, 2847 , -2964, 875   , -1748, 00:08:200000, 
Sensor1        , -177  , -3681, 326  , -954 , -330  , 147  , 00:08:305000, 
Sensor1        , -192  , -3916, 965  , -372 , -293  , -151 , 00:08:410000, 
Sensor1        , -540  , -3820, 775  , -264 , -251  , 10   , 00:08:514000, 
Sensor1        , 37    , -4087, 1248 , -54  , -560  , -458 , 00:08:619000, 
Sensor1        , -400  , -4094, 1042 , 21   , -95   , -137 , 00:08:724000, 
Sensor1        , -163  , -4035, 1045 , -59  , -109  , -245 , 00:08:829000, 
Sensor1        , -127  , -3962, 1204 , -261 , 180   , -167 , 00:08:934000, 
Sensor1        , -162  , -3899, 1734 , 291  , -164  , 249  , 00:09:038000, 
Sensor1        , 618   , -4657, 670  , -660 , -102  , -359 , 00:09:143000, 
Sensor1        , -1623 , -4759, 2134 , 963  , 322   , -1280, 00:09:248000, 
Sensor1        , -345  , -3365, 3035 , 1140 , 719   , -56  , 00:09:353000, 
Sensor1        , 374   , -3337, 1575 , -37  , 129   , -569 , 00:09:458000, 
Sensor1        , 237   , -3756, 1024 , 222  , 1     , 619  , 00:09:563000, 
Sensor1        , 223   , -4059, 1421 , 203  , 74    , -312 , 00:09:667000, 
Sensor1        , 81    , -4005, 1386 , -29  , -130  , -143 , 00:09:772000, 
Sensor1        , 386   , -4054, 1448 , -29  , 126   , -202 , 00:09:877000, 
Sensor1        , 452   , -4026, 1293 , -287 , -187  , -119 , 00:09:982000, 
Sensor1        , 87    , -4012, 1602 , -235 , -176  , -64  , 00:10:087000, 
Sensor1        , 276   , -4014, 1506 , -248 , -98   , -141 , 00:10:191000, 
Sensor1        , 290   , -4004, 1338 , -72  , -158  , -99  , 00:10:296000, 
Sensor1        , 411   , -4014, 1425 , -150 , -89   , -262 , 00:10:401000, 
Sensor1        , 390   , -4063, 1401 , -309 , -25   , -111 , 00:10:506000, 
Sensor1        , 351   , -4008, 1406 , -237 , -18   , -46  , 00:10:610000, 
Sensor1        , 271   , -4002, 1396 , -150 , 46    , -90  , 00:10:715000, 
Sensor1        , 426   , -4035, 1471 , 16   , 189   , -170 , 00:10:820000, 
Sensor1        , 454   , -4019, 1343 , -134 , -201  , -40  , 00:10:925000, 
Sensor1        , 328   , -4009, 1487 , -183 , 47    , -101 , 00:11:030000, 
