ID      , Status, AccX , AccY, AccZ, GyroX, GyroY, GyroZ, Timestamp   , Timestamp_us
Sensor_1, Active, -0.02, 0.01, 1.08, -4.14, -1.92, -1.49, 01:04:032000, 64032000
Sensor_1, Active, -0.02, 0.01, 1.08, -4.14, -1.89, -1.56, 01:04:132000, 64132000
Sensor_1, Active, -0.01, 0.01, 1.09, -4.14, -2.15, -1.34, 01:04:232000, 64232000
Sensor_1, Active, -0.02, 0.01, 1.08, -4.08, -2.18, -1.54, 01:04:332000, 64332000
Sensor_1, Active, -0.01, 0.01, 1.09, -4.11, -2.01, -1.38, 01:04:432000, 64432000
Sensor_1, Active, -0.02, 0.01, 1.09, -3.96, -2.08, -1.47, 01:04:532000, 64532000
Sensor_1, Active, -0.02, 0.01, 1.09, -4.15, -2.18, -1.41, 01:04:632000, 64632000
Sensor_1, Active, -0.02, 0.01, 1.09, -4.29, -2.20, -1.41, 01:04:732000, 64732000
Sensor_1, Active, -0.02, 0.01, 1.08, -4.12, -2.12, -1.51, 01:04:832000, 64832000
Sensor_1, Active, -0.02, 0.01, 1.08, -4.06, -2.09, -1.27, 01:04:932000, 64932000
Sensor_1, Active, -0.02, 0.01, 1.09, -4.19, -2.07, -1.57, 01:05:032000, 65032000
Sensor_1, Active, -0.01, 0.01, 1.09, -4.16, -2.10, -1.44, 01:05:132000, 65132000
Sensor_1, Active, -0.02, 0.01, 1.09, -4.10, -2.08, -1.53, 01:05:232000, 65232000
Sensor_1, Active, -0.02, 0.01, 1.08, -4.09, -2.01, -1.48, 01:05:332000, 65332000
Sensor_1, Active, -0.02, 0.01, 1.08, -4.12, -2.06, -1.35, 01:05:432000, 65432000
Sensor_1, Active, -0.02, 0.01, 1.10, -4.01, -2.25, -1.49, 01:05:532000, 65532000
Sensor_1, Active, -0.01, 0.01, 1.09, -4.29, -2.12, -1.37, 01:05:632000, 65632000
Sensor_1, Active, -0.01, 0.01, 1.09, -4.19, -2.01, -1.48, 01:05:732000, 65732000
Sensor_1, Active, -0.01, 0.01, 1.08, -4.03, -2.06, -1.40, 01:05:832000, 65832000
Sensor_1, Active, -0.02, 0.01, 1.09, -4.05, -2.08, -1.45, 01:05:932000, 65932000
Sensor_1, Active, -0.02, 0.00, 1.08, -4.17, -2.14, -1.43, 01:06:032000, 66032000
Sensor_1, Active, -0.02, 0.01, 1.10, -4.14, -2.12, -1.38, 01:06:132000, 66132000
Sensor_1, Active, -0.03, 0.01, 1.08, -4.12, -2.02, -1.44, 01:06:232000, 66232000
Sensor_1, Active, -0.02, 0.01, 1.08, -4.08, -1.99, -1.47, 01:06:332000, 66332000
Sensor_1, Active, -0.02, 0.00, 1.09, -3.88, -1.92, -1.47, 01:06:432000, 66432000
Sensor_1, Active, -0.02, 0.01, 1.10, -4.05, -1.92, -1.31, 01:06:533000, 66533000
Sensor_1, Active, -0.02, 0.01, 1.10, -4.23, -2.13, -1.44, 01:06:632000, 66632000
Sensor_1, Active, -0.01, 0.01, 1.09, -4.25, -2.23, -1.37, 01:06:732000, 66732000
Sensor_1, Active, -0.02, 0.01, 1.09, -4.27, -2.18, -1.47, 01:06:832000, 66832000
Sensor_1, Active, -0.01, 0.01, 1.09, -4.16, -1.76, -1.43, 01:06:932000, 66932000
