ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,0.07,0.83,0.38,-114.75,148.05,41.68,00:06:388000,6388000
Sensor_1,Active,0.10,0.74,0.43,-112.09,37.99,75.92,00:06:488000,6488000
Sensor_1,Active,0.20,0.75,0.60,-182.64,53.06,46.82,00:06:588000,6588000
Sensor_1,Active,0.13,0.69,0.87,-204.96,79.19,-62.96,00:06:688000,6688000
Sensor_1,Active,-0.17,0.40,1.17,-101.22,-7.38,-68.24,00:06:788000,6788000
Sensor_1,Active,-0.20,0.04,1.12,-42.25,-40.63,-54.04,00:06:888000,6888000
Sensor_1,Active,-0.15,-0.05,1.09,7.86,-0.95,7.57,00:06:988000,6988000
Sensor_1,Active,-0.12,0.12,1.04,-0.61,-0.83,-6.13,00:07:088000,7088000
Sensor_1,Active,-0.07,0.03,1.06,-23.43,-8.25,-15.40,00:07:188000,7188000
Sensor_1,Active,-0.12,-0.04,1.10,1.66,-7.03,14.75,00:07:288000,7288000
Sensor_1,Active,-0.09,0.03,1.08,-8.09,-8.34,1.34,00:07:388000,7388000
Sensor_1,Active,-0.08,0.02,1.07,-5.75,-3.24,0.02,00:07:488000,7488000
Sensor_1,Active,-0.08,0.02,1.07,-6.16,-5.20,-2.15,00:07:588000,7588000
Sensor_1,Active,-0.07,0.00,1.07,-6.09,-4.80,-1.92,00:07:688000,7688000
Sensor_1,Active,-0.06,0.01,1.06,-3.73,-2.52,-1.76,00:07:788000,7788000
Sensor_1,Active,-0.07,0.02,1.06,-4.07,-3.26,-2.09,00:07:888000,7888000
Sensor_1,Active,-0.07,0.01,1.07,-4.51,-1.51,-1.56,00:07:988000,7988000
Sensor_1,Active,-0.07,0.01,1.07,-4.72,-0.73,-0.95,00:08:088000,8088000
Sensor_1,Active,-0.06,0.00,1.07,-4.53,-1.88,-0.95,00:08:188000,8188000
Sensor_1,Active,-0.06,0.02,1.07,-4.79,-2.37,-1.63,00:08:288000,8288000
Sensor_1,Active,-0.06,0.01,1.06,-4.21,-1.50,-1.17,00:08:388000,8388000
Sensor_1,Active,-0.07,0.01,1.07,-4.79,-0.99,-1.59,00:08:488000,8488000
Sensor_1,Active,-0.07,0.01,1.07,-4.49,-1.95,-1.53,00:08:588000,8588000
Sensor_1,Active,-0.07,0.01,1.07,-4.18,-1.86,-2.43,00:08:688000,8688000
Sensor_1,Active,-0.08,0.01,1.08,-3.97,-1.02,-1.44,00:08:788000,8788000
Sensor_1,Active,-0.07,0.01,1.07,-4.37,-2.15,-1.91,00:08:888000,8888000
Sensor_1,Active,-0.07,0.01,1.07,-3.57,-0.61,-1.34,00:08:988000,8988000
Sensor_1,Active,-0.07,0.01,1.07,-3.42,0.28,-1.62,00:09:088000,9088000
Sensor_1,Active,-0.09,0.01,1.07,-2.71,1.45,-1.80,00:09:188000,9188000
Sensor_1,Active,-0.09,0.02,1.06,-1.37,0.95,-1.45,00:09:288000,9288000
Sensor_1,Active,-0.10,0.02,1.08,8.27,4.19,0.14,00:09:388000,9388000
Sensor_1,Active,-0.14,0.12,1.09,40.50,29.56,5.74,00:09:488000,9488000
Sensor_1,Active,-0.15,0.22,0.95,47.93,19.63,9.37,00:09:588000,9588000
