ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,-0.31,-0.83,0.49,10.58,-10.22,-96.12,00:34:701000,34701000
Sensor_1,Active,-0.20,-0.92,0.49,-1.96,-0.88,-78.82,00:34:801000,34801000
Sensor_1,Active,-0.14,-0.90,0.48,-11.75,20.64,-42.87,00:34:901000,34901000
Sensor_1,Active,-0.01,-0.91,0.46,-8.58,10.60,-21.79,00:35:001000,35001000
Sensor_1,Active,-0.11,-0.91,0.50,-13.96,3.02,20.14,00:35:101000,35101000
Sensor_1,Active,-0.08,-0.91,0.47,-19.15,16.79,11.88,00:35:201000,35201000
Sensor_1,Active,-0.24,-0.92,0.42,-7.22,4.20,10.52,00:35:301000,35301000
Sensor_1,Active,-0.20,-0.90,0.41,-9.82,1.91,15.56,00:35:401000,35401000
Sensor_1,Active,-0.22,-0.93,0.42,-17.82,13.80,66.22,00:35:501000,35501000
Sensor_1,Active,-0.43,-0.85,0.33,-30.98,49.46,56.08,00:35:601000,35601000
Sensor_1,Active,-0.36,-0.76,0.38,18.93,-8.52,46.75,00:35:701000,35701000
Sensor_1,Active,-0.71,-0.70,0.29,68.30,4.93,72.11,00:35:801000,35801000
Sensor_1,Active,-0.69,-0.74,0.09,24.46,67.99,-14.51,00:35:901000,35901000
Sensor_1,Active,-0.53,-0.71,0.22,31.33,72.68,-30.14,00:36:001000,36001000
Sensor_1,Active,-0.75,-0.85,0.17,5.23,25.02,-12.10,00:36:101000,36101000
Sensor_1,Active,-0.62,-0.76,0.06,9.88,44.34,-27.44,00:36:201000,36201000
Sensor_1,Active,-0.55,-0.78,0.04,91.79,74.14,-1.81,00:36:302000,36302000
Sensor_1,Active,-0.56,-0.88,0.10,-2.91,-51.37,-52.45,00:36:401000,36401000
Sensor_1,Active,-0.40,-0.85,0.28,74.14,6.71,-97.50,00:36:501000,36501000
Sensor_1,Active,-0.38,-0.96,0.36,159.76,171.26,-115.31,00:36:601000,36601000
Sensor_1,Active,-0.22,-0.84,0.49,106.69,17.34,-85.46,00:36:701000,36701000
Sensor_1,Active,-0.17,-0.81,0.74,79.67,83.41,-67.11,00:36:801000,36801000
Sensor_1,Active,-0.16,-0.78,0.66,15.88,-9.98,-34.08,00:36:901000,36901000
Sensor_1,Active,-0.13,-0.77,0.76,-9.88,6.90,-21.47,00:37:001000,37001000
Sensor_1,Active,-0.20,-0.89,0.57,-132.64,-17.25,16.75,00:37:101000,37101000
Sensor_1,Active,-0.15,-0.84,0.56,-76.63,-21.24,5.88,00:37:201000,37201000
Sensor_1,Active,-0.13,-0.91,0.42,-80.06,10.40,-7.72,00:37:301000,37301000
Sensor_1,Active,-0.02,-0.78,0.18,-221.12,-27.89,-84.96,00:37:401000,37401000
Sensor_1,Active,-0.08,-1.04,0.04,30.86,-38.53,3.81,00:37:501000,37501000
Sensor_1,Active,-0.09,-1.08,0.03,-54.50,7.07,26.58,00:37:601000,37601000
Sensor_1,Active,-0.08,-1.05,0.00,-19.65,-20.95,6.38,00:37:701000,37701000
Sensor_1,Active,-0.03,-1.08,0.08,13.81,11.83,5.34,00:37:801000,37801000
Sensor_1,Active,-0.06,-1.04,0.03,-12.77,6.06,-14.69,00:37:901000,37901000
