ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,-0.07,-0.01,1.06,-4.21,-1.65,-1.43,00:39:536000,39536000
Sensor_1,Active,-0.07,-0.01,1.07,-4.12,-1.92,-1.35,00:39:635000,39635000
Sensor_1,Active,-0.07,-0.01,1.07,-3.95,-1.95,-1.56,00:39:735000,39735000
Sensor_1,Active,-0.07,-0.01,1.07,-4.05,-1.82,-1.45,00:39:835000,39835000
Sensor_1,Active,-0.07,-0.01,1.06,-4.09,-1.89,-1.43,00:39:935000,39935000
Sensor_1,Active,-0.07,-0.01,1.06,-4.07,-1.85,-1.47,00:40:035000,40035000
Sensor_1,Active,-0.06,-0.01,1.07,-4.12,-1.82,-1.43,00:40:135000,40135000
Sensor_1,Active,-0.07,-0.01,1.06,-3.85,-1.83,-1.58,00:40:235000,40235000
Sensor_1,Active,-0.07,-0.01,1.07,-4.06,-1.78,-1.44,00:40:335000,40335000
Sensor_1,Active,-0.07,-0.00,1.07,-3.97,-1.71,-1.38,00:40:435000,40435000
Sensor_1,Active,-0.07,-0.01,1.07,-4.08,-1.53,-1.27,00:40:535000,40535000
Sensor_1,Active,-0.07,-0.01,1.07,-3.99,-1.90,-1.33,00:40:635000,40635000
Sensor_1,Active,-0.07,-0.01,1.07,-4.14,-2.08,-1.63,00:40:735000,40735000
Sensor_1,Active,-0.07,-0.00,1.07,-4.15,-1.75,-1.43,00:40:835000,40835000
Sensor_1,Active,-0.07,-0.01,1.06,-4.10,-1.76,-1.48,00:40:935000,40935000
Sensor_1,Active,-0.07,-0.01,1.08,-4.13,-1.71,-1.36,00:41:035000,41035000
Sensor_1,Active,-0.07,-0.01,1.06,-4.05,-1.76,-1.40,00:41:135000,41135000
Sensor_1,Active,-0.07,-0.00,1.07,-4.08,-2.07,-1.53,00:41:235000,41235000
Sensor_1,Active,-0.07,-0.01,1.07,-4.04,-1.92,-1.50,00:41:335000,41335000
Sensor_1,Active,-0.07,-0.01,1.07,-4.07,-1.73,-1.54,00:41:435000,41435000
Sensor_1,Active,-0.07,-0.01,1.08,-5.01,-1.62,-1.66,00:41:535000,41535000
Sensor_1,Active,-0.07,-0.01,1.06,-4.58,-2.44,-1.61,00:41:635000,41635000
Sensor_1,Active,-0.07,-0.01,1.07,-3.77,-1.89,-1.34,00:41:735000,41735000
Sensor_1,Active,-0.06,-0.01,1.05,-3.60,-1.89,-1.30,00:41:835000,41835000
Sensor_1,Active,-0.06,0.00,1.06,-3.99,-2.42,-1.76,00:41:935000,41935000
Sensor_1,Active,-0.06,-0.00,1.07,-3.50,-1.50,-1.42,00:42:035000,42035000
Sensor_1,Active,-0.07,-0.00,1.07,-4.04,-2.05,-1.36,00:42:135000,42135000
Sensor_1,Active,-0.07,-0.01,1.07,-4.52,-1.90,-1.57,00:42:235000,42235000
Sensor_1,Active,-0.07,-0.01,1.07,-3.92,-3.16,-1.42,00:42:335000,42335000
Sensor_1,Active,-0.06,-0.01,1.04,-3.98,-2.24,-1.43,00:42:435000,42435000
Sensor_1,Active,-0.06,-0.01,1.06,-3.88,-2.10,-1.45,00:42:535000,42535000
Sensor_1,Active,-0.06,-0.00,1.06,-4.21,-1.54,-1.44,00:42:635000,42635000
Sensor_1,Active,-0.07,-0.01,1.06,-4.08,-1.38,-1.51,00:42:735000,42735000
Sensor_1,Active,-0.06,-0.00,1.07,-4.06,-2.40,-1.44,00:42:835000,42835000
Sensor_1,Active,-0.06,-0.01,1.07,-4.12,-1.74,-1.66,00:42:935000,42935000
Sensor_1,Active,-0.06,-0.00,1.08,-3.95,-1.85,-1.45,00:43:035000,43035000
Sensor_1,Active,-0.06,-0.01,1.07,-4.00,-2.05,-1.29,00:43:135000,43135000
Sensor_1,Active,-0.06,-0.01,1.07,-4.04,-2.04,-1.40,00:43:235000,43235000
Sensor_1,Active,-0.07,-0.00,1.07,-4.03,-1.79,-1.49,00:43:335000,43335000
Sensor_1,Active,-0.06,-0.00,1.07,-4.08,-1.87,-1.55,00:43:435000,43435000
Sensor_1,Active,-0.05,-0.07,1.06,-5.51,-0.35,6.09,00:43:535000,43535000
Sensor_1,Active,-0.08,-0.14,1.03,1.00,-44.98,139.21,00:43:635000,43635000
Sensor_1,Active,-0.02,-0.02,1.10,7.30,-9.11,-2.75,00:43:736000,43736000
