ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,1.03,0.11,0.06,-4.37,-1.41,-1.56,05:53:060000,353060000
Sensor_1,Active,1.03,0.12,0.05,-4.19,-1.34,-1.48,05:53:160000,353160000
Sensor_1,Active,1.03,0.11,0.06,-4.28,-1.55,-1.43,05:53:260000,353260000
Sensor_1,Active,1.03,0.11,0.05,-4.42,-1.58,-1.44,05:53:360000,353360000
Sensor_1,Active,1.03,0.11,0.05,-4.28,-1.83,-1.40,05:53:460000,353460000
Sensor_1,Active,1.02,0.12,0.06,-4.24,-1.82,-1.39,05:53:560000,353560000
Sensor_1,Active,1.03,0.12,0.05,-4.30,-1.82,-1.63,05:53:660000,353660000
Sensor_1,Active,1.03,0.12,0.06,-4.31,-1.78,-1.69,05:53:760000,353760000
Sensor_1,Active,1.03,0.11,0.05,-4.35,-2.07,-1.28,05:53:860000,353860000
Sensor_1,Active,1.03,0.11,0.04,-4.28,-2.24,-1.38,05:53:960000,353960000
Sensor_1,Active,1.03,0.11,0.03,-4.08,-2.53,-1.47,05:54:060000,354060000
Sensor_1,Active,1.03,0.11,0.06,-3.98,-2.76,-1.11,05:54:160000,354160000
Sensor_1,Active,1.03,0.11,0.01,-4.24,-2.98,-1.52,05:54:260000,354260000
Sensor_1,Active,1.02,0.11,0.02,-4.01,-3.40,-1.25,05:54:361000,354361000
Sensor_1,Active,1.02,0.12,0.03,-4.14,-4.20,-1.26,05:54:460000,354460000
Sensor_1,Active,1.02,0.11,0.05,-4.01,-4.38,-1.17,05:54:560000,354560000
Sensor_1,Active,1.03,0.11,0.06,-4.08,-4.14,-1.21,05:54:660000,354660000
Sensor_1,Active,1.03,0.10,0.06,-4.05,-3.51,-1.27,05:54:760000,354760000
Sensor_1,Active,1.03,0.11,0.07,-4.24,-3.03,-1.30,05:54:860000,354860000
Sensor_1,Active,1.03,0.12,0.04,-4.16,-2.84,-1.54,05:54:960000,354960000
Sensor_1,Active,1.03,0.11,0.03,-4.20,-2.81,-1.59,05:55:060000,355060000
