ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,-0.97,-0.10,0.06,-4.20,-2.07,-1.63,24:43:393000,1483393000
Sensor_1,Active,-0.97,-0.10,0.07,-4.06,-2.15,-1.37,24:43:493000,1483493000
Sensor_1,Active,-0.96,-0.10,0.07,-4.11,-1.91,-1.36,24:43:593000,1483593000
Sensor_1,Active,-0.96,-0.11,0.07,-4.19,-1.98,-1.37,24:43:693000,1483693000
Sensor_1,Active,-0.97,-0.10,0.06,-4.26,-2.15,-1.50,24:43:793000,1483793000
Sensor_1,Active,-0.97,-0.10,0.06,-4.20,-1.96,-1.49,24:43:893000,1483893000
Sensor_1,Active,-0.96,-0.10,0.06,-4.27,-2.21,-1.41,24:43:993000,1483993000
Sensor_1,Active,-0.96,-0.10,0.07,-4.29,-2.18,-1.43,24:44:093000,1484093000
Sensor_1,Active,-0.96,-0.10,0.07,-4.14,-1.99,-1.42,24:44:193000,1484193000
Sensor_1,Active,-0.96,-0.10,0.06,-4.21,-2.16,-1.28,24:44:293000,1484293000
Sensor_1,Active,-0.96,-0.11,0.06,-4.21,-2.23,-1.30,24:44:393000,1484393000
Sensor_1,Active,-0.97,-0.10,0.07,-4.21,-2.05,-1.32,24:44:493000,1484493000
Sensor_1,Active,-0.96,-0.11,0.06,-4.21,-2.00,-1.30,24:44:593000,1484593000
Sensor_1,Active,-0.96,-0.11,0.05,-4.08,-2.02,-1.54,24:44:693000,1484693000
Sensor_1,Active,-0.96,-0.11,0.05,-4.09,-1.91,-1.40,24:44:793000,1484793000
Sensor_1,Active,-0.96,-0.10,0.06,-4.24,-1.89,-1.46,24:44:893000,1484893000
Sensor_1,Active,-0.96,-0.11,0.07,-4.24,-2.16,-1.37,24:44:993000,1484993000
Sensor_1,Active,-0.96,-0.10,0.06,-4.12,-2.13,-1.24,24:45:093000,1485093000
Sensor_1,Active,-0.97,-0.10,0.07,-4.21,-1.99,-1.53,24:45:193000,1485193000
Sensor_1,Active,-0.97,-0.10,0.06,-4.26,-1.84,-1.52,24:45:293000,1485293000
Sensor_1,Active,-0.97,-0.10,0.05,-4.29,-1.82,-1.44,24:45:393000,1485393000
Sensor_1,Active,-0.97,-0.10,0.07,-4.13,-2.01,-1.64,24:45:493000,1485493000
Sensor_1,Active,-0.96,-0.11,0.07,-4.11,-1.97,-1.59,24:45:593000,1485593000
Sensor_1,Active,-0.96,-0.11,0.08,-4.15,-2.11,-1.37,24:45:693000,1485693000
Sensor_1,Active,-0.97,-0.10,0.06,-4.17,-1.95,-1.44,24:45:793000,1485793000
Sensor_1,Active,-0.96,-0.11,0.06,-4.20,-2.21,-1.46,24:45:893000,1485893000
Sensor_1,Active,-0.97,-0.11,0.07,-4.31,-2.06,-1.44,24:45:993000,1485993000
Sensor_1,Active,-0.96,-0.10,0.06,-4.27,-2.09,-1.40,24:46:093000,1486093000
Sensor_1,Active,-0.97,-0.11,0.06,-4.25,-2.14,-1.39,24:46:193000,1486193000
Sensor_1,Active,-0.96,-0.11,0.06,-4.19,-2.05,-1.45,24:46:293000,1486293000
Sensor_1,Active,-0.97,-0.12,0.06,-4.34,-1.84,-1.28,24:46:393000,1486393000
Sensor_1,Active,-0.96,-0.12,0.06,-4.24,-2.04,-1.38,24:46:493000,1486493000
Sensor_1,Active,-0.96,-0.12,0.06,-4.10,-2.07,-1.53,24:46:593000,1486593000
Sensor_1,Active,-0.97,-0.12,0.07,-4.26,-1.98,-1.58,24:46:693000,1486693000
Sensor_1,Active,-0.97,-0.13,0.05,-4.32,-2.01,-1.40,24:46:793000,1486793000
Sensor_1,Active,-0.96,-0.12,0.06,-4.20,-1.94,-1.45,24:46:893000,1486893000
Sensor_1,Active,-0.96,-0.12,0.06,-4.12,-2.10,-1.41,24:46:993000,1486993000
Sensor_1,Active,-0.96,-0.12,0.06,-4.21,-1.81,-1.22,24:47:093000,1487093000
Sensor_1,Active,-0.97,-0.11,0.07,-4.17,-1.79,-1.59,24:47:193000,1487193000
Sensor_1,Active,-0.97,-0.12,0.06,-4.18,-1.74,-1.33,24:47:293000,1487293000
Sensor_1,Active,-0.96,-0.10,0.05,-4.22,-2.12,-1.37,24:47:393000,1487393000
Sensor_1,Active,-0.96,-0.10,0.05,-4.14,-2.13,-1.38,24:47:493000,1487493000
Sensor_1,Active,-0.97,-0.10,0.07,-4.26,-1.97,-1.42,24:47:593000,1487593000
Sensor_1,Active,-0.96,-0.10,0.06,-4.08,-2.05,-1.35,24:47:693000,1487693000
Sensor_1,Active,-0.97,-0.11,0.06,-4.15,-2.02,-1.41,24:47:793000,1487793000
Sensor_1,Active,-0.97,-0.09,0.07,-4.36,-2.18,-1.53,24:47:893000,1487893000
Sensor_1,Active,-0.97,-0.11,0.10,-4.12,-2.17,-1.66,24:47:993000,1487993000
Sensor_1,Active,-0.97,-0.12,0.05,-4.39,-2.28,-1.27,24:48:093000,1488093000
Sensor_1,Active,-0.96,-0.09,0.01,-4.11,-2.16,-1.63,24:48:193000,1488193000
Sensor_1,Active,-0.98,-0.10,0.07,-4.09,-2.37,-1.44,24:48:293000,1488293000
Sensor_1,Active,-0.99,-0.10,0.01,-4.26,-1.89,-1.60,24:48:393000,1488393000
Sensor_1,Active,-0.98,-0.10,0.00,-4.46,-0.22,-1.58,24:48:493000,1488493000
Sensor_1,Active,-0.96,-0.09,0.03,-4.47,-0.03,-1.20,24:48:593000,1488593000
Sensor_1,Active,-0.97,-0.10,-0.02,-4.39,0.86,-1.35,24:48:693000,1488693000
Sensor_1,Active,-0.97,-0.11,-0.03,-4.49,1.24,-1.42,24:48:793000,1488793000
Sensor_1,Active,-0.95,-0.11,-0.01,-4.82,2.26,-1.38,24:48:893000,1488893000
Sensor_1,Active,-0.95,-0.10,0.01,-4.80,2.48,-1.44,24:48:993000,1488993000
Sensor_1,Active,-0.95,-0.10,0.09,-4.53,2.38,-1.34,24:49:093000,1489093000
Sensor_1,Active,-0.95,-0.10,0.06,-4.74,1.95,-1.33,24:49:193000,1489193000
Sensor_1,Active,-0.96,-0.10,0.02,-4.72,1.00,-1.56,24:49:293000,1489293000
Sensor_1,Active,-0.98,-0.11,0.09,-4.63,0.10,-1.44,24:49:393000,1489393000
Sensor_1,Active,-1.00,-0.07,0.18,-4.15,-1.57,-1.50,24:49:493000,1489493000
Sensor_1,Active,-0.94,-0.10,0.05,-4.18,-2.14,-1.18,24:49:593000,1489593000
Sensor_1,Active,-0.98,-0.10,0.11,-4.07,-3.13,-1.50,24:49:693000,1489693000
Sensor_1,Active,-0.95,-0.12,-0.00,-3.89,-3.69,-1.34,24:49:793000,1489793000
Sensor_1,Active,-0.96,-0.11,-0.02,-4.00,-3.70,-1.56,24:49:893000,1489893000
Sensor_1,Active,-0.95,-0.12,-0.10,-4.28,-2.48,-1.56,24:49:993000,1489993000
Sensor_1,Active,-0.97,-0.10,0.02,-4.43,-1.85,-1.42,24:50:093000,1490093000
Sensor_1,Active,-0.96,-0.10,0.02,-4.05,-2.09,-1.46,24:50:193000,1490193000
Sensor_1,Active,-0.97,-0.11,0.02,-4.32,-1.99,-1.54,24:50:293000,1490293000
Sensor_1,Active,-0.96,-0.11,0.02,-4.25,-1.92,-1.57,24:50:393000,1490393000
Sensor_1,Active,-0.98,-0.10,0.17,-3.82,-3.92,-1.47,24:50:493000,1490493000
Sensor_1,Active,-0.95,-0.12,0.05,-3.82,-5.78,-1.73,24:50:593000,1490593000
Sensor_1,Active,-0.95,-0.11,-0.01,-3.73,-5.05,-1.56,24:50:693000,1490693000
Sensor_1,Active,-0.95,-0.10,0.03,-3.85,-4.79,-1.49,24:50:793000,1490793000
Sensor_1,Active,-0.96,-0.11,0.04,-3.83,-4.57,-1.44,24:50:893000,1490893000
Sensor_1,Active,-0.96,-0.11,0.05,-4.05,-4.75,-1.55,24:50:993000,1490993000
Sensor_1,Active,-0.98,-0.12,-0.02,-3.87,-4.44,-1.45,24:51:093000,1491093000
Sensor_1,Active,-0.97,-0.11,0.00,-4.05,-3.24,-1.51,24:51:193000,1491193000
Sensor_1,Active,-0.96,-0.11,0.04,-4.19,-2.50,-1.31,24:51:293000,1491293000
Sensor_1,Active,-0.95,-0.10,0.09,-3.99,-2.99,-1.35,24:51:393000,1491393000
Sensor_1,Active,-0.96,-0.11,0.05,-4.14,-3.66,-1.43,24:51:493000,1491493000
Sensor_1,Active,-0.97,-0.11,0.00,-3.95,-3.20,-1.41,24:51:593000,1491593000
Sensor_1,Active,-0.96,-0.10,0.03,-4.18,-2.56,-1.48,24:51:693000,1491693000
Sensor_1,Active,-0.96,-0.10,0.08,-4.09,-2.40,-1.34,24:51:793000,1491793000
Sensor_1,Active,-0.96,-0.11,0.09,-4.17,-3.07,-1.32,24:51:893000,1491893000
Sensor_1,Active,-0.97,-0.11,0.07,-4.13,-3.40,-1.33,24:51:993000,1491993000
Sensor_1,Active,-0.96,-0.09,0.11,-5.53,-1.33,-2.48,24:52:093000,1492093000
