ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,1.03,0.07,-0.01,-4.10,-1.97,-1.56,00:19:868000,19868000
Sensor_1,Active,1.03,0.07,-0.02,-3.89,-1.89,-1.26,00:19:967000,19967000
Sensor_1,Active,1.03,0.07,-0.01,-4.30,-2.02,-1.36,00:20:067000,20067000
Sensor_1,Active,1.03,0.07,-0.01,-4.15,-2.08,-1.43,00:20:167000,20167000
Sensor_1,Active,1.03,0.07,-0.01,-4.21,-1.79,-1.40,00:20:267000,20267000
Sensor_1,Active,1.03,0.07,-0.01,-4.06,-2.13,-1.34,00:20:367000,20367000
Sensor_1,Active,1.03,0.07,-0.01,-4.12,-2.32,-1.53,00:20:467000,20467000
Sensor_1,Active,1.03,0.06,-0.02,-4.27,-1.68,-1.47,00:20:567000,20567000
Sensor_1,Active,1.03,0.06,-0.01,-4.41,-1.53,-1.49,00:20:667000,20667000
Sensor_1,Active,1.03,0.06,-0.01,-4.11,-1.71,-1.56,00:20:767000,20767000
Sensor_1,Active,1.04,0.07,-0.02,-4.59,-1.89,-1.71,00:20:867000,20867000
Sensor_1,Active,1.04,0.07,-0.02,-4.02,-2.24,-1.53,00:20:967000,20967000
Sensor_1,Active,1.03,0.06,-0.02,-4.33,-1.59,-1.52,00:21:067000,21067000
Sensor_1,Active,1.03,0.07,-0.02,-4.18,-1.95,-1.55,00:21:167000,21167000
Sensor_1,Active,1.03,0.07,-0.01,-4.24,-1.52,-1.26,00:21:267000,21267000
Sensor_1,Active,1.04,0.07,-0.02,-4.05,-1.68,-1.37,00:21:367000,21367000
Sensor_1,Active,1.04,0.07,-0.02,-4.14,-2.30,-1.31,00:21:467000,21467000
Sensor_1,Active,1.03,0.07,-0.01,-4.18,-2.33,-1.44,00:21:567000,21567000
Sensor_1,Active,1.03,0.07,-0.01,-4.29,-1.83,-1.44,00:21:667000,21667000
Sensor_1,Active,1.04,0.07,-0.02,-4.18,-1.67,-1.47,00:21:767000,21767000
Sensor_1,Active,1.03,0.07,-0.02,-4.36,-1.79,-1.54,00:21:867000,21867000
Sensor_1,Active,1.03,0.07,-0.02,-4.30,-1.82,-1.39,00:21:967000,21967000
Sensor_1,Active,1.03,0.06,-0.01,-4.20,-1.96,-1.46,00:22:067000,22067000
Sensor_1,Active,1.03,0.07,-0.02,-4.34,-1.75,-1.74,00:22:167000,22167000
Sensor_1,Active,1.03,0.07,-0.01,-4.10,-2.06,-1.37,00:22:267000,22267000
Sensor_1,Active,1.03,0.07,-0.01,-4.24,-1.76,-1.48,00:22:367000,22367000
Sensor_1,Active,1.03,0.07,-0.02,-4.20,-1.64,-1.58,00:22:467000,22467000
Sensor_1,Active,1.03,0.07,-0.01,-4.22,-1.92,-1.37,00:22:567000,22567000
Sensor_1,Active,1.03,0.07,-0.01,-4.36,-2.11,-1.43,00:22:667000,22667000
Sensor_1,Active,1.04,0.07,-0.02,-4.28,-2.07,-1.44,00:22:767000,22767000
Sensor_1,Active,1.03,0.07,-0.02,-4.24,-1.69,-1.29,00:22:867000,22867000
Sensor_1,Active,1.03,0.07,-0.02,-4.01,-1.41,-1.50,00:22:967000,22967000
Sensor_1,Active,1.03,0.07,-0.02,-4.21,-1.90,-1.26,00:23:067000,23067000
Sensor_1,Active,1.04,0.07,-0.01,-4.10,-1.99,-1.34,00:23:167000,23167000
Sensor_1,Active,1.03,0.07,-0.02,-4.29,-2.12,-1.83,00:23:267000,23267000
Sensor_1,Active,1.03,0.07,-0.02,-4.46,-1.79,-1.59,00:23:367000,23367000
Sensor_1,Active,1.03,0.07,-0.02,-4.37,-1.89,-1.50,00:23:467000,23467000
Sensor_1,Active,1.03,0.07,-0.01,-4.49,-1.78,-1.50,00:23:568000,23568000
Sensor_1,Active,1.04,0.06,-0.01,-4.19,-1.92,-1.34,00:23:667000,23667000
Sensor_1,Active,1.03,0.07,-0.01,-4.82,-1.77,-1.63,00:23:767000,23767000
Sensor_1,Active,1.03,0.07,-0.03,-4.05,-2.38,-1.48,00:23:867000,23867000
Sensor_1,Active,1.04,0.07,-0.02,-4.30,-1.76,-1.62,00:23:967000,23967000
Sensor_1,Active,1.03,0.07,-0.01,-4.28,-1.88,-1.53,00:24:067000,24067000
Sensor_1,Active,1.04,0.07,-0.03,-4.16,-2.11,-1.37,00:24:167000,24167000
Sensor_1,Active,1.03,0.07,-0.02,-4.19,-1.99,-1.44,00:24:267000,24267000
Sensor_1,Active,1.03,0.07,-0.01,-4.14,-1.73,-1.28,00:24:367000,24367000
Sensor_1,Active,1.04,0.07,-0.02,-4.11,-1.69,-1.42,00:24:467000,24467000
Sensor_1,Active,1.03,0.07,-0.01,-3.89,-1.94,-1.27,00:24:567000,24567000
Sensor_1,Active,1.03,0.07,-0.01,-4.12,-1.95,-1.48,00:24:667000,24667000
Sensor_1,Active,1.03,0.07,-0.02,-3.82,-1.78,-1.35,00:24:767000,24767000
Sensor_1,Active,1.03,0.07,-0.02,-4.11,-1.83,-1.41,00:24:867000,24867000
Sensor_1,Active,1.03,0.07,-0.02,-4.35,-1.46,-1.53,00:24:967000,24967000
Sensor_1,Active,1.04,0.07,-0.01,-4.10,-1.95,-1.40,00:25:067000,25067000
Sensor_1,Active,1.03,0.07,-0.01,-4.12,-2.12,-1.50,00:25:167000,25167000
Sensor_1,Active,1.03,0.07,-0.01,-4.40,-1.70,-1.29,00:25:267000,25267000
Sensor_1,Active,1.04,0.07,-0.03,-4.27,-1.69,-1.41,00:25:367000,25367000
Sensor_1,Active,1.03,0.07,-0.02,-4.01,-2.18,-1.53,00:25:467000,25467000
Sensor_1,Active,1.03,0.07,-0.02,-4.26,-2.40,-1.44,00:25:567000,25567000
Sensor_1,Active,1.03,0.07,-0.01,-4.37,-2.01,-1.55,00:25:667000,25667000
Sensor_1,Active,1.03,0.07,-0.01,-3.98,-1.97,-1.41,00:25:767000,25767000
Sensor_1,Active,1.03,0.07,-0.01,-4.12,-1.81,-1.46,00:25:867000,25867000
Sensor_1,Active,1.03,0.06,-0.02,-4.38,-2.14,-1.41,00:25:967000,25967000
Sensor_1,Active,1.03,0.07,-0.01,-4.50,-2.24,-1.59,00:26:067000,26067000
Sensor_1,Active,1.03,0.07,-0.02,-4.36,-1.84,-1.63,00:26:167000,26167000
Sensor_1,Active,1.03,0.07,-0.02,-4.44,-1.74,-1.66,00:26:267000,26267000
Sensor_1,Active,1.04,0.07,-0.01,-4.36,-1.86,-1.59,00:26:367000,26367000
Sensor_1,Active,1.04,0.07,-0.02,-4.08,-2.09,-1.53,00:26:467000,26467000
Sensor_1,Active,1.03,0.07,-0.02,-4.34,-1.41,-1.54,00:26:567000,26567000
Sensor_1,Active,1.03,0.07,-0.02,-3.95,-2.08,-1.24,00:26:667000,26667000
Sensor_1,Active,1.03,0.07,-0.02,-3.84,-2.15,-1.26,00:26:767000,26767000
Sensor_1,Active,1.03,0.07,-0.02,-4.25,-1.44,-1.52,00:26:867000,26867000
Sensor_1,Active,1.02,0.09,-0.05,-5.50,-1.62,-2.63,00:26:967000,26967000
Sensor_1,Active,1.00,0.02,0.09,-4.59,-11.80,-0.79,00:27:067000,27067000
Sensor_1,Active,1.03,0.10,-0.05,-8.96,7.73,-3.90,00:27:167000,27167000
Sensor_1,Active,1.04,0.06,-0.02,0.82,-5.37,1.66,00:27:267000,27267000
Sensor_1,Active,1.03,0.05,0.04,-3.66,-1.90,-1.36,00:27:367000,27367000
Sensor_1,Active,1.03,0.07,-0.02,-5.49,-0.79,-2.32,00:27:467000,27467000
Sensor_1,Active,1.03,0.06,-0.01,-4.12,-3.91,-1.39,00:27:567000,27567000
Sensor_1,Active,1.03,0.06,-0.02,-4.59,0.38,-1.61,00:27:667000,27667000
Sensor_1,Active,1.03,0.07,-0.03,-3.71,-1.23,-1.06,00:27:767000,27767000
Sensor_1,Active,1.03,0.05,-0.02,-4.47,-3.05,-1.44,00:27:868000,27868000
Sensor_1,Active,1.02,0.06,-0.01,-4.20,-1.24,-1.68,00:27:967000,27967000
Sensor_1,Active,1.02,0.06,-0.02,-3.74,1.76,-0.65,00:28:067000,28067000
Sensor_1,Active,1.06,0.06,-0.02,-8.62,4.50,-3.47,00:28:167000,28167000
Sensor_1,Active,1.03,0.09,0.01,5.34,3.79,4.21,00:28:267000,28267000
Sensor_1,Active,1.05,0.07,-0.06,-9.02,11.94,-4.47,00:28:367000,28367000
Sensor_1,Active,1.02,0.05,-0.01,1.61,-12.43,1.82,00:28:467000,28467000
Sensor_1,Active,1.03,0.08,-0.01,-8.41,-2.51,-3.94,00:28:567000,28567000
Sensor_1,Active,1.03,0.05,-0.06,-3.06,-0.13,-1.02,00:28:667000,28667000
Sensor_1,Active,1.03,0.07,0.02,-0.48,-5.33,0.74,00:28:767000,28767000
Sensor_1,Active,1.03,0.08,-0.00,-5.14,-1.55,-2.04,00:28:867000,28867000
Sensor_1,Active,1.04,0.07,-0.01,-3.55,-3.81,-0.93,00:28:967000,28967000
Sensor_1,Active,1.03,0.08,0.00,-2.99,-1.83,-0.94,00:29:067000,29067000
Sensor_1,Active,1.03,0.07,-0.00,-4.59,-1.17,-1.37,00:29:167000,29167000
Sensor_1,Active,1.03,0.07,-0.01,-4.18,-1.18,-1.08,00:29:267000,29267000
Sensor_1,Active,1.03,0.07,-0.00,-4.49,-0.75,-1.66,00:29:367000,29367000
Sensor_1,Active,1.04,0.06,-0.03,-3.52,-1.61,-1.07,00:29:467000,29467000
Sensor_1,Active,1.03,0.06,-0.02,-4.92,-1.50,-1.97,00:29:567000,29567000
Sensor_1,Active,1.03,0.07,-0.01,-5.48,-1.82,-2.11,00:29:667000,29667000
Sensor_1,Active,1.04,0.07,-0.01,-3.76,-1.79,-1.32,00:29:767000,29767000
Sensor_1,Active,1.03,0.07,-0.02,-4.87,-1.84,-1.76,00:29:867000,29867000
Sensor_1,Active,1.03,0.07,-0.01,-4.42,-2.49,-1.44,00:29:967000,29967000
Sensor_1,Active,1.03,0.06,-0.03,-3.29,-0.78,-1.04,00:30:067000,30067000
Sensor_1,Active,1.04,0.07,0.00,-4.08,-2.38,-1.43,00:30:167000,30167000
Sensor_1,Active,1.03,0.06,-0.02,-5.70,0.01,-2.08,00:30:267000,30267000
Sensor_1,Active,1.04,0.07,-0.00,-3.44,-2.30,-0.82,00:30:367000,30367000
Sensor_1,Active,1.03,0.07,-0.01,-5.38,-1.47,-2.35,00:30:467000,30467000
Sensor_1,Active,1.04,0.07,-0.02,-3.14,-3.12,-0.98,00:30:567000,30567000
Sensor_1,Active,1.03,0.07,-0.00,-4.86,-2.08,-1.81,00:30:667000,30667000
Sensor_1,Active,1.03,0.07,-0.02,-4.41,-1.42,-1.82,00:30:767000,30767000
Sensor_1,Active,1.03,0.08,-0.02,-3.71,-2.50,-0.98,00:30:867000,30867000
Sensor_1,Active,1.08,0.10,0.02,1.02,-13.36,0.73,00:30:967000,30967000
Sensor_1,Active,1.01,0.06,0.05,-0.82,-20.56,-0.01,00:31:067000,31067000
Sensor_1,Active,1.01,0.08,-0.03,-9.28,6.86,-4.01,00:31:167000,31167000
Sensor_1,Active,1.04,0.05,-0.10,-0.90,1.27,0.21,00:31:267000,31267000
Sensor_1,Active,1.07,0.09,-0.25,12.12,20.53,7.32,00:31:367000,31367000
Sensor_1,Active,1.01,0.13,0.16,9.71,-32.07,6.22,00:31:467000,31467000
Sensor_1,Active,1.00,0.07,-0.03,-10.26,-1.62,-6.15,00:31:567000,31567000
Sensor_1,Active,1.02,0.11,-0.02,2.22,-12.60,2.42,00:31:667000,31667000
Sensor_1,Active,1.03,0.11,0.08,-5.76,0.98,-2.39,00:31:767000,31767000
Sensor_1,Active,1.04,0.08,-0.02,-7.41,0.63,-3.50,00:31:867000,31867000
Sensor_1,Active,1.03,0.09,0.00,-4.18,-3.81,-1.59,00:31:967000,31967000
Sensor_1,Active,1.04,0.07,-0.04,-3.44,-0.12,-1.04,00:32:067000,32067000
