ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,0.92,0.25,0.47,-4.90,-1.90,-1.50,12:11:406000,731406000
Sensor_1,Active,0.91,0.24,0.47,-4.12,-1.90,-1.55,12:11:506000,731506000
Sensor_1,Active,0.92,0.24,0.47,0.36,-3.56,1.28,12:11:606000,731606000
Sensor_1,Active,0.91,0.24,0.48,-4.22,-1.89,-1.43,12:11:706000,731706000
Sensor_1,Active,0.91,0.23,0.48,-5.03,-1.85,-1.61,12:11:806000,731806000
Sensor_1,Active,0.92,0.24,0.47,-4.02,-1.84,-1.44,12:11:906000,731906000
Sensor_1,Active,0.91,0.23,0.49,-4.40,-1.94,-1.51,12:12:006000,732006000
Sensor_1,Active,0.92,0.22,0.48,-4.76,-1.83,-1.70,12:12:106000,732106000
Sensor_1,Active,0.92,0.22,0.48,-4.12,-1.83,-1.38,12:12:206000,732206000
Sensor_1,Active,0.91,0.23,0.48,-4.05,-1.86,-1.41,12:12:306000,732306000
Sensor_1,Active,0.92,0.24,0.47,-4.36,-1.82,-1.41,12:12:406000,732406000
Sensor_1,Active,0.92,0.25,0.48,-4.08,-1.79,-1.38,12:12:506000,732506000
Sensor_1,Active,0.92,0.24,0.48,-4.47,-1.88,-1.37,12:12:606000,732606000
Sensor_1,Active,0.92,0.25,0.48,-4.19,-1.99,-1.17,12:12:706000,732706000
Sensor_1,Active,0.91,0.24,0.49,-4.03,-1.91,-1.38,12:12:806000,732806000
Sensor_1,Active,0.91,0.24,0.48,-4.83,-1.83,-1.51,12:12:906000,732906000
Sensor_1,Active,0.92,0.24,0.47,-4.18,-2.00,-1.53,12:13:006000,733006000
Sensor_1,Active,0.91,0.24,0.48,-4.49,-2.03,-1.41,12:13:106000,733106000
Sensor_1,Active,0.92,0.24,0.49,-4.24,-1.67,-1.42,12:13:206000,733206000
Sensor_1,Active,0.91,0.24,0.48,-4.36,-1.79,-1.72,12:13:306000,733306000
Sensor_1,Active,0.92,0.23,0.47,-4.14,-1.76,-1.30,12:13:406000,733406000
Sensor_1,Active,0.91,0.24,0.48,-4.15,-1.75,-1.50,12:13:506000,733506000
Sensor_1,Active,0.92,0.24,0.48,-4.38,-1.68,-1.39,12:13:606000,733606000
