ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,-0.05,0.91,-0.32,-3.87,-1.99,-1.44,16:31:565000,4591565000
Sensor_1,Active,-0.05,0.91,-0.32,-3.98,-2.15,-1.44,16:31:665000,4591665000
Sensor_1,Active,-0.06,0.92,-0.33,-3.82,-1.95,-1.47,16:31:765000,4591765000
Sensor_1,Active,-0.06,0.91,-0.33,-3.85,-1.82,-1.40,16:31:865000,4591865000
Sensor_1,Active,-0.06,0.91,-0.32,-3.85,-1.96,-1.31,16:31:965000,4591965000
Sensor_1,Active,-0.07,0.90,-0.34,-3.82,-1.81,-1.52,16:32:065000,4592065000
Sensor_1,Active,-0.07,0.90,-0.34,-3.76,-1.98,-1.50,16:32:165000,4592165000
Sensor_1,Active,-0.08,0.91,-0.35,-3.91,-2.03,-1.47,16:32:265000,4592265000
Sensor_1,Active,-0.09,0.90,-0.33,-3.95,-1.97,-1.61,16:32:365000,4592365000
Sensor_1,Active,-0.10,0.89,-0.34,-3.88,-1.83,-1.44,16:32:465000,4592465000
Sensor_1,Active,-0.09,0.89,-0.34,-4.11,-1.95,-1.30,16:32:565000,4592565000
Sensor_1,Active,-0.09,0.90,-0.33,-3.95,-2.02,-1.19,16:32:665000,4592665000
Sensor_1,Active,-0.08,0.91,-0.32,-3.83,-2.21,-1.52,16:32:765000,4592765000
Sensor_1,Active,-0.07,0.92,-0.33,-3.81,-2.03,-1.60,16:32:865000,4592865000
Sensor_1,Active,-0.07,0.90,-0.33,-3.76,-2.01,-1.53,16:32:965000,4592965000
Sensor_1,Active,-0.06,0.91,-0.34,-3.90,-1.95,-1.44,16:33:065000,4593065000
Sensor_1,Active,-0.07,0.91,-0.32,-3.88,-1.98,-1.42,16:33:165000,4593165000
Sensor_1,Active,-0.07,0.91,-0.32,-3.92,-1.79,-1.38,16:33:265000,4593265000
Sensor_1,Active,-0.07,0.92,-0.32,-3.59,-1.81,-1.59,16:33:365000,4593365000
Sensor_1,Active,-0.06,0.91,-0.34,-3.79,-1.93,-1.40,16:33:465000,4593465000
Sensor_1,Active,-0.06,0.91,-0.33,-3.73,-1.91,-1.55,16:33:565000,4593565000
Sensor_1,Active,-0.05,0.90,-0.34,-3.86,-1.94,-1.49,16:33:665000,4593665000
Sensor_1,Active,-0.07,0.91,-0.32,-3.90,-1.89,-1.24,16:33:765000,4593765000
Sensor_1,Active,-0.06,0.91,-0.33,-3.88,-1.85,-1.54,16:33:865000,4593865000
Sensor_1,Active,-0.07,0.91,-0.31,-3.87,-2.16,-1.31,16:33:965000,4593965000
Sensor_1,Active,-0.06,0.91,-0.32,-3.95,-1.90,-1.47,16:34:065000,4594065000
Sensor_1,Active,-0.06,0.91,-0.32,-3.93,-1.84,-1.39,16:34:165000,4594165000
Sensor_1,Active,-0.07,0.92,-0.32,-3.88,-1.84,-1.53,16:34:265000,4594265000
Sensor_1,Active,-0.06,0.91,-0.33,-3.85,-1.68,-1.46,16:34:365000,4594365000
Sensor_1,Active,-0.05,0.91,-0.33,-3.70,-1.86,-1.56,16:34:465000,4594465000
Sensor_1,Active,-0.06,0.90,-0.34,-4.09,-1.91,-1.62,16:34:565000,4594565000
Sensor_1,Active,-0.06,0.91,-0.32,-3.90,-1.77,-1.36,16:34:665000,4594665000
Sensor_1,Active,-0.06,0.90,-0.33,-3.91,-1.97,-1.60,16:34:765000,4594765000
Sensor_1,Active,-0.06,0.90,-0.34,-3.80,-1.79,-1.47,16:34:865000,4594865000
Sensor_1,Active,-0.05,0.92,-0.34,-3.71,-1.81,-1.37,16:34:965000,4594965000
Sensor_1,Active,-0.06,0.90,-0.32,-3.83,-1.95,-1.50,16:35:066000,4595066000
Sensor_1,Active,-0.06,0.91,-0.33,-3.94,-2.05,-1.47,16:35:165000,4595165000
Sensor_1,Active,-0.06,0.91,-0.32,-3.98,-2.02,-1.53,16:35:265000,4595265000
Sensor_1,Active,-0.06,0.91,-0.33,-3.82,-2.21,-1.56,16:35:365000,4595365000
Sensor_1,Active,-0.06,0.91,-0.33,-3.89,-2.22,-1.57,16:35:465000,4595465000
Sensor_1,Active,-0.07,0.92,-0.33,-3.95,-2.01,-1.37,16:35:565000,4595565000
Sensor_1,Active,-0.07,0.92,-0.33,-4.00,-1.83,-1.36,16:35:665000,4595665000
Sensor_1,Active,-0.06,0.91,-0.32,-3.89,-1.95,-1.40,16:35:765000,4595765000
Sensor_1,Active,-0.06,0.91,-0.32,-3.60,-2.12,-1.50,16:35:865000,4595865000
Sensor_1,Active,-0.06,0.89,-0.33,-3.90,-1.79,-1.57,16:35:965000,4595965000
Sensor_1,Active,-0.06,0.91,-0.32,-3.74,-1.92,-1.48,16:36:065000,4596065000
Sensor_1,Active,-0.05,0.91,-0.32,-3.85,-2.18,-1.44,16:36:165000,4596165000
Sensor_1,Active,-0.06,0.91,-0.33,-3.95,-1.91,-1.37,16:36:265000,4596265000
Sensor_1,Active,-0.05,0.91,-0.32,-3.74,-1.96,-1.59,16:36:365000,4596365000
Sensor_1,Active,-0.06,0.91,-0.32,-3.78,-2.06,-1.47,16:36:465000,4596465000
Sensor_1,Active,-0.06,0.91,-0.32,-3.94,-1.92,-1.38,16:36:565000,4596565000
Sensor_1,Active,-0.06,0.91,-0.33,-3.79,-1.85,-1.41,16:36:665000,4596665000
Sensor_1,Active,-0.06,0.91,-0.33,-3.82,-2.05,-1.53,16:36:765000,4596765000
Sensor_1,Active,-0.06,0.90,-0.33,-4.07,-1.99,-1.63,16:36:865000,4596865000
Sensor_1,Active,-0.07,0.91,-0.32,-3.87,-2.00,-1.56,16:36:965000,4596965000
Sensor_1,Active,-0.06,0.91,-0.32,-3.80,-1.97,-1.50,16:37:065000,4597065000
Sensor_1,Active,-0.06,0.90,-0.33,-3.84,-2.12,-1.47,16:37:165000,4597165000
Sensor_1,Active,-0.06,0.91,-0.33,-3.95,-1.53,-1.45,16:37:265000,4597265000
Sensor_1,Active,-0.06,0.91,-0.33,-3.81,-1.85,-1.30,16:37:365000,4597365000
Sensor_1,Active,-0.06,0.92,-0.32,-3.96,-2.15,-1.53,16:37:465000,4597465000
Sensor_1,Active,-0.06,0.91,-0.33,-3.94,-1.90,-1.53,16:37:565000,4597565000
Sensor_1,Active,-0.06,0.92,-0.31,-3.84,-1.88,-1.55,16:37:665000,4597665000
Sensor_1,Active,-0.06,0.91,-0.33,-3.80,-2.12,-1.53,16:37:765000,4597765000
Sensor_1,Active,-0.07,0.91,-0.32,-3.88,-1.79,-1.61,16:37:865000,4597865000
Sensor_1,Active,-0.06,0.90,-0.33,-3.86,-1.97,-1.47,16:37:965000,4597965000
Sensor_1,Active,-0.06,0.91,-0.33,-3.77,-1.98,-1.63,16:38:065000,4598065000
Sensor_1,Active,-0.06,0.91,-0.33,-3.93,-1.91,-1.45,16:38:165000,4598165000
Sensor_1,Active,-0.06,0.91,-0.33,-4.08,-1.87,-1.38,16:38:265000,4598265000
Sensor_1,Active,-0.05,0.91,-0.32,-3.95,-2.01,-1.35,16:38:365000,4598365000
Sensor_1,Active,-0.06,0.90,-0.33,-3.89,-1.85,-1.27,16:38:465000,4598465000
Sensor_1,Active,-0.06,0.92,-0.32,-3.95,-1.81,-1.34,16:38:565000,4598565000
Sensor_1,Active,-0.06,0.91,-0.32,-3.82,-1.92,-1.59,16:38:665000,4598665000
Sensor_1,Active,-0.06,0.90,-0.34,-3.63,-2.18,-1.60,16:38:765000,4598765000
Sensor_1,Active,-0.07,0.93,-0.32,-3.95,-1.82,-1.34,16:38:865000,4598865000
Sensor_1,Active,-0.04,0.93,-0.30,-3.92,-1.81,-1.34,16:38:965000,4598965000
Sensor_1,Active,-0.07,0.91,-0.33,-3.71,-2.04,-1.43,16:39:065000,4599065000
Sensor_1,Active,-0.05,0.90,-0.33,-3.72,-2.07,-1.32,16:39:165000,4599165000
Sensor_1,Active,-0.06,0.91,-0.33,-3.87,-1.94,-1.47,16:39:265000,4599265000
Sensor_1,Active,-0.04,0.92,-0.34,-3.89,-2.02,-1.53,16:39:366000,4599366000
Sensor_1,Active,-0.05,0.91,-0.32,-4.37,-1.82,-1.41,16:39:465000,4599465000
Sensor_1,Active,-0.05,0.91,-0.33,-4.11,-1.97,-1.65,16:39:565000,4599565000
Sensor_1,Active,-0.05,0.91,-0.38,-4.06,-1.93,-1.61,16:39:665000,4599665000
Sensor_1,Active,-0.03,0.89,-0.47,-0.98,-1.43,-0.88,16:39:765000,4599765000
Sensor_1,Active,-0.06,0.90,-0.30,-0.06,-1.11,-0.72,16:39:865000,4599865000
Sensor_1,Active,-0.06,0.90,-0.35,-0.53,-1.32,-1.15,16:39:965000,4599965000
Sensor_1,Active,-0.04,0.88,-0.39,0.07,-1.14,-1.03,16:40:065000,4600065000
Sensor_1,Active,-0.05,0.88,-0.34,0.33,-1.17,-0.76,16:40:165000,4600165000
Sensor_1,Active,-0.07,0.91,-0.28,-0.54,-1.36,-0.97,16:40:265000,4600265000
Sensor_1,Active,-0.06,0.94,-0.25,-1.99,-1.76,-1.11,16:40:365000,4600365000
Sensor_1,Active,-0.04,0.94,-0.32,-2.96,-1.78,-1.69,16:40:465000,4600465000
Sensor_1,Active,-0.02,0.92,-0.34,-3.40,-1.69,-1.44,16:40:565000,4600565000
Sensor_1,Active,-0.04,0.90,-0.36,-3.97,-1.85,-1.34,16:40:665000,4600665000
Sensor_1,Active,-0.04,0.90,-0.37,-3.73,-2.08,-1.50,16:40:765000,4600765000
Sensor_1,Active,-0.07,0.92,-0.28,-4.33,-2.40,-1.66,16:40:865000,4600865000
Sensor_1,Active,-0.04,0.90,-0.36,-5.05,-2.20,-1.65,16:40:965000,4600965000
Sensor_1,Active,-0.05,0.89,-0.37,-4.94,-2.38,-1.75,16:41:065000,4601065000
Sensor_1,Active,-0.05,0.91,-0.35,-4.79,-2.19,-1.60,16:41:165000,4601165000
Sensor_1,Active,-0.05,0.91,-0.31,-5.47,-2.35,-1.76,16:41:265000,4601265000
Sensor_1,Active,-0.05,0.90,-0.35,-6.20,-2.42,-1.85,16:41:365000,4601365000
Sensor_1,Active,-0.05,0.90,-0.37,-6.07,-2.47,-1.93,16:41:465000,4601465000
Sensor_1,Active,-0.05,0.90,-0.34,-6.34,-2.66,-1.88,16:41:565000,4601565000
Sensor_1,Active,-0.05,0.90,-0.36,-6.19,-2.40,-1.82,16:41:665000,4601665000
Sensor_1,Active,-0.05,0.90,-0.31,-6.30,-2.20,-1.99,16:41:765000,4601765000
Sensor_1,Active,-0.05,0.88,-0.37,-6.24,-2.98,-1.88,16:41:865000,4601865000
Sensor_1,Active,-0.05,0.90,-0.37,-5.96,-2.21,-1.94,16:41:965000,4601965000
Sensor_1,Active,-0.06,0.90,-0.38,-5.18,-1.96,-1.56,16:42:065000,4602065000
Sensor_1,Active,-0.07,0.92,-0.33,-4.95,-2.27,-1.51,16:42:165000,4602165000
Sensor_1,Active,-0.01,0.96,-0.29,-3.95,-1.20,-0.33,16:42:265000,4602265000
Sensor_1,Active,-0.07,0.90,-0.38,-4.44,-1.69,-0.87,16:42:365000,4602365000
Sensor_1,Active,-0.07,0.91,-0.30,-3.70,-2.08,-1.01,16:42:465000,4602465000
Sensor_1,Active,-0.07,0.90,-0.32,-3.87,-2.03,-1.53,16:42:565000,4602565000
Sensor_1,Active,-0.05,0.90,-0.34,-3.66,-1.98,-1.36,16:42:665000,4602665000
Sensor_1,Active,-0.05,0.91,-0.33,-3.89,-1.71,-1.71,16:42:765000,4602765000
Sensor_1,Active,-0.05,0.91,-0.34,-3.78,-1.95,-1.38,16:42:865000,4602865000
Sensor_1,Active,-0.05,0.91,-0.33,-3.76,-1.96,-1.67,16:42:965000,4602965000
Sensor_1,Active,-0.05,0.92,-0.33,-3.98,-1.98,-1.56,16:43:065000,4603065000
Sensor_1,Active,-0.07,0.91,-0.32,-3.78,-1.92,-1.66,16:43:165000,4603165000
Sensor_1,Active,-0.06,0.91,-0.33,-3.89,-1.76,-1.54,16:43:265000,4603265000
Sensor_1,Active,-0.06,0.91,-0.33,-3.66,-1.93,-1.64,16:43:365000,4603365000
Sensor_1,Active,-0.06,0.91,-0.33,-3.74,-2.08,-1.46,16:43:465000,4603465000
Sensor_1,Active,-0.06,0.91,-0.32,-3.79,-1.92,-1.47,16:43:566000,4603566000
Sensor_1,Active,-0.06,0.91,-0.32,-3.87,-1.73,-1.45,16:43:666000,4603666000
Sensor_1,Active,-0.06,0.91,-0.33,-3.91,-1.93,-1.48,16:43:765000,4603765000
Sensor_1,Active,-0.05,0.91,-0.32,-3.96,-1.94,-1.49,16:43:865000,4603865000
Sensor_1,Active,-0.06,0.91,-0.33,-3.88,-1.92,-1.39,16:43:965000,4603965000
Sensor_1,Active,-0.06,0.92,-0.32,-3.97,-1.96,-1.49,16:44:065000,4604065000
Sensor_1,Active,-0.06,0.91,-0.32,-3.92,-1.92,-1.34,16:44:165000,4604165000
Sensor_1,Active,-0.06,0.91,-0.33,-3.81,-2.19,-1.46,16:44:265000,4604265000
Sensor_1,Active,-0.06,0.91,-0.33,-3.70,-1.99,-1.47,16:44:365000,4604365000
Sensor_1,Active,-0.06,0.91,-0.31,-3.87,-1.83,-1.58,16:44:465000,4604465000
Sensor_1,Active,-0.06,0.91,-0.33,-3.77,-2.15,-1.39,16:44:565000,4604565000
Sensor_1,Active,-0.06,0.91,-0.33,-4.00,-1.95,-1.41,16:44:665000,4604665000
Sensor_1,Active,-0.06,0.91,-0.32,-4.19,-2.05,-1.33,16:44:765000,4604765000
Sensor_1,Active,0.03,0.84,-0.59,-3.15,1.08,-1.56,16:44:865000,4604865000
Sensor_1,Active,-0.05,0.90,-0.41,-1.30,-1.63,-0.95,16:44:965000,4604965000
Sensor_1,Active,-0.06,0.90,-0.31,-0.87,-1.12,-0.89,16:45:065000,4605065000
Sensor_1,Active,-0.05,0.91,-0.33,-0.95,-1.37,-0.98,16:45:165000,4605165000
Sensor_1,Active,-0.05,0.89,-0.38,-0.66,-1.56,-0.95,16:45:265000,4605265000
Sensor_1,Active,-0.05,0.88,-0.37,-0.47,-1.47,-0.96,16:45:365000,4605365000
Sensor_1,Active,-0.06,0.91,-0.31,-0.69,-1.21,-0.88,16:45:465000,4605465000
Sensor_1,Active,-0.06,0.92,-0.29,-1.39,-1.61,-1.11,16:45:565000,4605565000
Sensor_1,Active,-0.06,0.92,-0.31,-2.77,-1.53,-1.44,16:45:665000,4605665000
Sensor_1,Active,-0.04,0.91,-0.33,-3.40,-1.66,-1.44,16:45:765000,4605765000
Sensor_1,Active,-0.05,0.89,-0.38,-3.76,-1.98,-1.70,16:45:865000,4605865000
Sensor_1,Active,-0.05,0.90,-0.37,-3.55,-2.07,-1.58,16:45:965000,4605965000
Sensor_1,Active,-0.04,0.88,-0.39,-3.81,-2.07,-1.65,16:46:065000,4606065000
Sensor_1,Active,-0.04,0.89,-0.36,-3.75,-1.99,-1.41,16:46:165000,4606165000
Sensor_1,Active,-0.06,0.90,-0.35,-3.83,-2.04,-1.37,16:46:265000,4606265000
Sensor_1,Active,-0.05,0.90,-0.35,-4.34,-1.99,-1.63,16:46:365000,4606365000
Sensor_1,Active,-0.05,0.90,-0.35,-4.73,-2.17,-1.40,16:46:465000,4606465000
Sensor_1,Active,-0.05,0.90,-0.35,-4.88,-2.15,-1.75,16:46:565000,4606565000
Sensor_1,Active,-0.05,0.90,-0.35,-5.05,-2.36,-1.73,16:46:665000,4606665000
Sensor_1,Active,-0.07,0.91,-0.32,-5.43,-2.31,-1.88,16:46:765000,4606765000
Sensor_1,Active,-0.06,0.91,-0.32,-6.44,-2.27,-1.99,16:46:865000,4606865000
Sensor_1,Active,-0.05,0.89,-0.36,-6.53,-2.49,-2.21,16:46:965000,4606965000
Sensor_1,Active,-0.05,0.90,-0.35,-6.64,-2.58,-1.90,16:47:065000,4607065000
Sensor_1,Active,-0.05,0.89,-0.37,-6.12,-2.35,-1.88,16:47:165000,4607165000
Sensor_1,Active,-0.05,0.90,-0.37,-5.41,-2.05,-1.89,16:47:265000,4607265000
Sensor_1,Active,-0.05,0.90,-0.35,-5.15,-1.89,-1.70,16:47:365000,4607365000
Sensor_1,Active,-0.07,0.91,-0.31,-5.17,-2.13,-1.81,16:47:465000,4607465000
Sensor_1,Active,-0.06,0.91,-0.32,-5.49,-2.32,-1.76,16:47:565000,4607565000
Sensor_1,Active,-0.06,0.91,-0.33,-5.57,-2.28,-1.79,16:47:665000,4607665000
Sensor_1,Active,-0.17,0.83,-0.27,-4.67,-4.82,-2.50,16:47:765000,4607765000
Sensor_1,Active,-0.08,0.92,-0.38,-3.91,-1.48,-2.30,16:47:866000,4607866000
Sensor_1,Active,-0.05,0.88,-0.38,-3.82,-1.99,-1.97,16:47:965000,4607965000
Sensor_1,Active,-0.06,0.93,-0.30,-4.09,-2.11,-1.92,16:48:065000,4608065000
Sensor_1,Active,-0.06,0.91,-0.32,-4.17,-2.12,-1.54,16:48:165000,4608165000
Sensor_1,Active,0.02,0.87,-0.56,-3.37,0.83,-1.56,16:48:265000,4608265000
Sensor_1,Active,-0.04,0.90,-0.42,-1.67,-1.45,-1.08,16:48:365000,4608365000
Sensor_1,Active,-0.06,0.91,-0.33,-0.88,-1.39,-0.95,16:48:465000,4608465000
Sensor_1,Active,-0.05,0.89,-0.34,-1.24,-1.21,-1.01,16:48:565000,4608565000
Sensor_1,Active,-0.04,0.89,-0.38,-0.80,-1.30,-1.05,16:48:665000,4608665000
Sensor_1,Active,-0.05,0.89,-0.36,-0.37,-0.93,-0.70,16:48:765000,4608765000
Sensor_1,Active,-0.05,0.91,-0.32,-0.77,-1.21,-0.89,16:48:865000,4608865000
Sensor_1,Active,-0.06,0.92,-0.28,-1.21,-1.62,-0.95,16:48:965000,4608965000
Sensor_1,Active,-0.08,0.93,-0.28,-2.43,-1.63,-1.06,16:49:065000,4609065000
Sensor_1,Active,-0.06,0.92,-0.31,-3.78,-2.05,-1.55,16:49:165000,4609165000
Sensor_1,Active,-0.05,0.90,-0.36,-3.89,-2.02,-1.56,16:49:265000,4609265000
Sensor_1,Active,-0.05,0.90,-0.36,-3.77,-2.00,-1.56,16:49:365000,4609365000
Sensor_1,Active,-0.05,0.89,-0.36,-3.95,-1.95,-1.60,16:49:465000,4609465000
Sensor_1,Active,-0.05,0.90,-0.36,-3.75,-1.87,-1.42,16:49:565000,4609565000
Sensor_1,Active,-0.05,0.91,-0.32,-4.12,-1.96,-1.67,16:49:665000,4609665000
Sensor_1,Active,-0.05,0.90,-0.35,-4.55,-2.02,-1.44,16:49:765000,4609765000
Sensor_1,Active,-0.05,0.90,-0.35,-4.45,-2.06,-1.55,16:49:865000,4609865000
Sensor_1,Active,-0.05,0.90,-0.34,-4.81,-2.08,-1.75,16:49:965000,4609965000
Sensor_1,Active,-0.06,0.91,-0.32,-5.08,-2.16,-1.62,16:50:065000,4610065000
Sensor_1,Active,-0.06,0.91,-0.30,-5.86,-2.21,-1.85,16:50:165000,4610165000
Sensor_1,Active,-0.05,0.90,-0.35,-6.31,-2.49,-1.94,16:50:265000,4610265000
Sensor_1,Active,-0.05,0.89,-0.38,-6.20,-2.47,-1.83,16:50:365000,4610365000
Sensor_1,Active,-0.05,0.89,-0.35,-6.02,-2.35,-2.06,16:50:465000,4610465000
Sensor_1,Active,-0.05,0.89,-0.36,-5.93,-2.30,-1.62,16:50:565000,4610565000
Sensor_1,Active,-0.04,0.90,-0.37,-5.28,-2.40,-1.69,16:50:665000,4610665000
Sensor_1,Active,-0.05,0.90,-0.33,-4.82,-2.18,-1.73,16:50:765000,4610765000
Sensor_1,Active,-0.05,0.90,-0.31,-5.21,-2.01,-1.63,16:50:865000,4610865000
Sensor_1,Active,-0.06,0.91,-0.33,-5.33,-2.21,-1.87,16:50:965000,4610965000
Sensor_1,Active,-0.06,0.91,-0.34,-5.03,-2.34,-1.70,16:51:065000,4611065000
Sensor_1,Active,0.05,1.02,-0.12,-2.24,-6.18,-0.62,16:51:165000,4611165000
Sensor_1,Active,0.02,0.92,-0.21,-3.87,-1.47,-1.10,16:51:265000,4611265000
Sensor_1,Active,-0.04,0.91,-0.35,-3.98,-1.19,-0.98,16:51:365000,4611365000
Sensor_1,Active,-0.04,0.90,-0.35,-3.73,-2.04,-1.40,16:51:465000,4611465000
Sensor_1,Active,-0.05,0.90,-0.34,-3.95,-1.91,-1.28,16:51:565000,4611565000
Sensor_1,Active,-0.04,0.89,-0.41,-3.77,-1.91,-1.54,16:51:665000,4611665000
Sensor_1,Active,-0.04,0.91,-0.41,-2.34,-1.39,-1.18,16:51:765000,4611765000
Sensor_1,Active,-0.05,0.90,-0.35,-1.47,-1.57,-1.00,16:51:865000,4611865000
Sensor_1,Active,-0.07,0.91,-0.32,-1.25,-1.64,-0.98,16:51:965000,4611965000
Sensor_1,Active,-0.05,0.88,-0.38,-1.05,-1.41,-0.92,16:52:066000,4612066000
Sensor_1,Active,-0.04,0.89,-0.36,-0.18,-1.30,-0.82,16:52:166000,4612166000
Sensor_1,Active,-0.05,0.89,-0.34,-0.05,-1.24,-0.85,16:52:265000,4612265000
Sensor_1,Active,-0.06,0.92,-0.28,-0.78,-1.33,-0.64,16:52:365000,4612365000
Sensor_1,Active,-0.07,0.94,-0.25,-1.92,-1.50,-1.21,16:52:465000,4612465000
Sensor_1,Active,-0.05,0.93,-0.29,-3.62,-1.89,-1.32,16:52:565000,4612565000
Sensor_1,Active,-0.07,0.89,-0.36,-3.95,-2.05,-1.50,16:52:665000,4612665000
Sensor_1,Active,-0.06,0.90,-0.37,-3.63,-2.03,-1.47,16:52:765000,4612765000
Sensor_1,Active,-0.05,0.90,-0.36,-3.60,-1.97,-1.53,16:52:865000,4612865000
Sensor_1,Active,-0.06,0.89,-0.35,-3.82,-1.79,-1.37,16:52:965000,4612965000
Sensor_1,Active,-0.06,0.91,-0.34,-4.12,-2.06,-1.44,16:53:065000,4613065000
Sensor_1,Active,-0.05,0.90,-0.36,-4.59,-2.07,-1.50,16:53:165000,4613165000
Sensor_1,Active,-0.04,0.89,-0.36,-4.66,-2.11,-1.74,16:53:265000,4613265000
Sensor_1,Active,-0.06,0.90,-0.34,-4.53,-2.16,-1.70,16:53:365000,4613365000
Sensor_1,Active,-0.06,0.90,-0.34,-4.90,-2.05,-1.62,16:53:465000,4613465000
Sensor_1,Active,-0.06,0.91,-0.30,-5.38,-2.15,-1.87,16:53:565000,4613565000
Sensor_1,Active,-0.06,0.91,-0.32,-6.29,-2.60,-1.84,16:53:665000,4613665000
Sensor_1,Active,-0.04,0.90,-0.35,-6.60,-2.65,-1.89,16:53:765000,4613765000
Sensor_1,Active,-0.06,0.90,-0.33,-6.50,-2.84,-2.00,16:53:865000,4613865000
Sensor_1,Active,-0.05,0.90,-0.37,-6.36,-2.57,-1.81,16:53:965000,4613965000
Sensor_1,Active,-0.06,0.90,-0.37,-6.01,-2.11,-1.77,16:54:065000,4614065000
Sensor_1,Active,-0.06,0.91,-0.32,-5.23,-2.39,-1.65,16:54:165000,4614165000
Sensor_1,Active,-0.06,0.91,-0.33,-5.22,-2.27,-1.57,16:54:265000,4614265000
Sensor_1,Active,-0.06,0.91,-0.33,-5.51,-2.19,-1.83,16:54:365000,4614365000
Sensor_1,Active,-0.15,0.71,-1.14,-4.17,10.73,-5.78,16:54:465000,4614465000
Sensor_1,Active,0.02,0.85,-0.34,-3.47,-3.26,-2.63,16:54:565000,4614565000
Sensor_1,Active,0.02,0.95,-0.25,-3.39,-2.39,-1.24,16:54:665000,4614665000
Sensor_1,Active,-0.00,0.90,-0.35,-4.11,-1.92,-1.21,16:54:765000,4614765000
Sensor_1,Active,-0.05,0.91,-0.34,-4.16,-1.88,-1.37,16:54:865000,4614865000
Sensor_1,Active,-0.12,0.88,-0.39,-3.06,-4.08,-1.32,16:54:965000,4614965000
Sensor_1,Active,-0.05,0.90,-0.40,-0.94,-1.63,-1.08,16:55:065000,4615065000
Sensor_1,Active,-0.06,0.91,-0.33,-0.69,-1.34,-1.01,16:55:165000,4615165000
Sensor_1,Active,-0.05,0.89,-0.37,-0.55,-1.50,-0.92,16:55:265000,4615265000
Sensor_1,Active,-0.05,0.87,-0.37,0.13,-1.21,-0.90,16:55:365000,4615365000
Sensor_1,Active,-0.06,0.89,-0.32,0.09,-1.06,-0.67,16:55:465000,4615465000
Sensor_1,Active,-0.07,0.93,-0.26,-0.84,-1.29,-0.83,16:55:565000,4615565000
Sensor_1,Active,-0.07,0.94,-0.25,-2.92,-1.87,-1.16,16:55:665000,4615665000
