ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,-0.08,0.00,1.08,-4.51,-1.73,-1.39,08:00:007000,480007000
Sensor_1,Active,-0.08,0.00,1.08,-4.61,-1.76,-1.34,08:00:207000,480207000
Sensor_1,Active,-0.07,0.01,1.07,-4.43,-1.85,-1.34,08:00:407000,480407000
Sensor_1,Active,-0.08,0.00,1.08,-4.56,-1.60,-1.48,08:00:607000,480607000
Sensor_1,Active,-0.08,0.00,1.08,-4.43,-1.80,-1.27,08:00:807000,480807000
Sensor_1,Active,-0.08,0.01,1.08,-4.47,-1.66,-1.30,08:01:007000,481007000
Sensor_1,Active,-0.07,0.01,1.08,-4.53,-1.66,-1.41,08:01:207000,481207000
Sensor_1,Active,-0.07,0.00,1.07,-4.44,-1.73,-1.39,08:01:407000,481407000
Sensor_1,Active,-0.08,0.01,1.08,-4.44,-1.89,-1.20,08:01:608000,481608000
Sensor_1,Active,-0.07,0.01,1.08,-4.47,-1.59,-1.40,08:01:807000,481807000
Sensor_1,Active,-0.08,0.01,1.08,-4.59,-1.86,-1.40,08:02:007000,482007000
Sensor_1,Active,-0.08,0.01,1.08,-4.34,-1.85,-1.29,08:02:907000,482907000
Sensor_1,Active,-0.07,0.01,1.08,-4.47,-1.90,-1.29,08:03:107000,483107000
Sensor_1,Active,-0.08,0.00,1.09,-4.47,-1.70,-1.34,08:03:307000,483307000
Sensor_1,Active,-0.08,0.01,1.08,-4.47,-1.97,-1.39,08:03:507000,483507000
Sensor_1,Active,-0.07,0.00,1.08,-4.53,-1.57,-1.32,08:03:707000,483707000
Sensor_1,Active,-0.08,0.00,1.08,-4.34,-1.90,-1.59,08:03:907000,483907000
Sensor_1,Active,-0.07,0.00,1.08,-4.36,-1.96,-1.27,08:04:007000,484007000
Sensor_1,Active,-0.08,0.00,1.08,-4.57,-1.85,-1.23,08:04:207000,484207000
Sensor_1,Active,-0.07,0.01,1.09,-4.45,-1.66,-1.27,08:04:407000,484407000
Sensor_1,Active,-0.07,0.00,1.07,-4.53,-1.78,-1.21,08:04:507000,484507000
Sensor_1,Active,-0.07,0.00,1.08,-4.61,-1.79,-1.45,08:04:707000,484707000
Sensor_1,Active,-0.08,0.01,1.08,-4.53,-1.61,-1.27,08:05:107000,485107000
