ID      , Status, AccX , AccY , AccZ , GyroX  , GyroY  , GyroZ  , Timestamp   , Timestamp_us
Sensor_1, Active, 0.11 , 1.00 , 0.24 , -24.27 , 15.93  , 17.82  , 00:42:215000, 42215000
Sensor_1, Active, 0.13 , 0.97 , 0.31 , 33.07  , -7.63  , 3.83   , 00:42:315000, 42315000
Sensor_1, Active, 0.15 , 0.97 , 0.21 , -0.63  , -5.93  , 0.58   , 00:42:415000, 42415000
Sensor_1, Active, 0.13 , 0.97 , 0.15 , 21.02  , -18.65 , -2.56  , 00:42:515000, 42515000
Sensor_1, Active, 0.12 , 0.89 , 0.13 , -15.50 , -23.83 , -18.98 , 00:42:615000, 42615000
Sensor_1, Active, 0.15 , 1.01 , 0.12 , -7.59  , 3.51   , 7.10   , 00:42:715000, 42715000
Sensor_1, Active, 0.17 , 0.98 , 0.16 , -12.38 , 4.01   , 4.33   , 00:42:815000, 42815000
Sensor_1, Active, 0.18 , 0.97 , 0.18 , -18.27 , 5.41   , 5.01   , 00:42:915000, 42915000
Sensor_1, Active, 0.16 , 0.96 , 0.21 , -16.83 , 1.34   , 1.91   , 00:43:015000, 43015000
Sensor_1, Active, 0.16 , 0.96 , 0.23 , -8.10  , -6.86  , -5.53  , 00:43:115000, 43115000
Sensor_1, Active, 0.17 , 0.97 , 0.22 , -9.36  , -1.15  , -2.21  , 00:43:215000, 43215000
Sensor_1, Active, 0.17 , 0.97 , 0.22 , -6.37  , -2.83  , -2.35  , 00:43:315000, 43315000
Sensor_1, Active, 0.16 , 0.97 , 0.23 , -3.44  , -3.26  , -1.55  , 00:43:415000, 43415000
Sensor_1, Active, 0.17 , 0.97 , 0.22 , -2.22  , -3.23  , -1.64  , 00:43:515000, 43515000
Sensor_1, Active, 0.17 , 0.97 , 0.20 , -4.92  , 0.46   , 0.21   , 00:43:615000, 43615000
Sensor_1, Active, 0.18 , 0.97 , 0.24 , -6.28  , 0.74   , 1.13   , 00:43:715000, 43715000
Sensor_1, Active, 0.17 , 0.96 , 0.23 , -2.42  , -3.35  , -1.30  , 00:43:815000, 43815000
Sensor_1, Active, 0.17 , 0.97 , 0.24 , -0.14  , -2.65  , -2.31  , 00:43:915000, 43915000
Sensor_1, Active, 0.17 , 0.96 , 0.22 , -9.58  , 0.64   , -0.67  , 00:44:015000, 44015000
Sensor_1, Active, 0.17 , 0.96 , 0.24 , -8.54  , -1.48  , -1.22  , 00:44:115000, 44115000
Sensor_1, Active, 0.18 , 0.97 , 0.24 , -4.16  , -2.48  , -1.85  , 00:44:215000, 44215000
Sensor_1, Active, 0.17 , 0.96 , 0.25 , -6.83  , 0.61   , 1.24   , 00:44:315000, 44315000
Sensor_1, Active, 0.18 , 0.98 , 0.25 , -26.59 , 1.13   , 1.26   , 00:44:415000, 44415000
Sensor_1, Active, 0.19 , 0.94 , 0.32 , -28.53 , -2.03  , 2.89   , 00:44:515000, 44515000
Sensor_1, Active, 0.19 , 0.93 , 0.33 , -15.78 , -0.91  , 1.37   , 00:44:616000, 44616000
Sensor_1, Active, 0.20 , 0.94 , 0.33 , 1.56   , -1.63  , -1.66  , 00:44:715000, 44715000
Sensor_1, Active, 0.20 , 0.93 , 0.35 , -5.76  , -1.16  , -0.21  , 00:44:815000, 44815000
Sensor_1, Active, 0.21 , 0.96 , 0.33 , -10.70 , 1.66   , 0.79   , 00:44:915000, 44915000
Sensor_1, Active, 0.20 , 0.93 , 0.35 , -0.41  , 0.97   , 5.24   , 00:45:015000, 45015000
Sensor_1, Active, 0.40 , 0.73 , 0.35 , -101.41, 65.24  , 250.13 , 00:45:115000, 45115000
Sensor_1, Active, 0.89 , 0.73 , 0.36 , -185.99, 136.61 , 250.13 , 00:45:215000, 45215000
Sensor_1, Active, 0.80 , 0.33 , 0.71 , 23.04  , 33.28  , 122.00 , 00:45:315000, 45315000
Sensor_1, Active, 0.69 , 0.16 , 0.83 , 4.69   , 109.55 , 71.71  , 00:45:415000, 45415000
Sensor_1, Active, 0.54 , 0.13 , 0.91 , -7.71  , 71.46  , 17.82  , 00:45:515000, 45515000
Sensor_1, Active, 0.65 , 0.13 , 1.00 , -36.27 , 66.47  , 54.30  , 00:45:615000, 45615000
Sensor_1, Active, 0.28 , -0.21, 1.06 , -56.17 , 179.25 , 250.13 , 00:45:715000, 45715000
Sensor_1, Active, 0.31 , -0.08, 1.11 , 41.58  , -52.48 , 250.13 , 00:45:815000, 45815000
Sensor_1, Active, -0.08, -0.15, 1.08 , -23.24 , 26.61  , 132.91 , 00:45:915000, 45915000
Sensor_1, Active, -0.09, -0.37, 1.03 , -26.27 , 3.56   , 44.68  , 00:46:015000, 46015000
Sensor_1, Active, -0.15, -0.24, 1.02 , 7.09   , -32.25 , 0.68   , 00:46:115000, 46115000
Sensor_1, Active, 0.06 , -0.29, 0.99 , -37.41 , -37.31 , 155.05 , 00:46:215000, 46215000
Sensor_1, Active, -0.39, -0.11, 1.14 , 10.92  , 220.65 , 250.13 , 00:46:315000, 46315000
Sensor_1, Active, -0.40, 0.17 , 0.73 , -13.62 , 24.53  , 250.13 , 00:46:415000, 46415000
Sensor_1, Active, -0.35, 0.48 , 0.87 , -52.15 , -0.43  , 62.24  , 00:46:515000, 46515000
Sensor_1, Active, -0.38, 0.46 , 0.84 , -30.53 , 4.65   , 0.09   , 00:46:615000, 46615000
Sensor_1, Active, -0.38, 0.49 , 0.79 , -18.09 , 15.76  , -3.15  , 00:46:715000, 46715000
Sensor_1, Active, -0.36, 0.45 , 0.90 , -29.57 , 84.63  , -3.50  , 00:46:815000, 46815000
Sensor_1, Active, -0.40, 0.44 , 0.85 , -47.99 , -44.42 , 153.25 , 00:46:915000, 46915000
Sensor_1, Active, -0.08, 0.54 , 0.91 , -26.74 , 3.74   , 243.08 , 00:47:015000, 47015000
Sensor_1, Active, 0.27 , 0.51 , 0.89 , 16.62  , -10.88 , 193.46 , 00:47:115000, 47115000
Sensor_1, Active, 0.45 , 0.45 , 0.93 , 80.63  , 9.58   , 250.13 , 00:47:215000, 47215000
Sensor_1, Active, 0.59 , 0.43 , 0.80 , 77.18  , 21.51  , 148.12 , 00:47:315000, 47315000
Sensor_1, Active, 0.57 , 0.51 , 0.75 , 23.06  , -56.76 , -17.99 , 00:47:415000, 47415000
Sensor_1, Active, 0.61 , 0.49 , 0.79 , -36.19 , 4.01   , 46.63  , 00:47:515000, 47515000
Sensor_1, Active, 0.58 , 0.36 , 0.77 , -36.95 , 20.50  , 85.31  , 00:47:615000, 47615000
Sensor_1, Active, 0.66 , 0.02 , 0.76 , -64.15 , -54.25 , 250.13 , 00:47:715000, 47715000
Sensor_1, Active, 0.84 , -0.53, 0.77 , 17.11  , -95.52 , 250.13 , 00:47:815000, 47815000
Sensor_1, Active, 0.46 , -0.59, 0.70 , -35.18 , -17.13 , 3.43   , 00:47:915000, 47915000
Sensor_1, Active, 0.54 , -0.63, 0.82 , 55.01  , -35.20 , 5.30   , 00:48:015000, 48015000
Sensor_1, Active, 0.46 , -0.63, 0.87 , 206.45 , 5.68   , 250.13 , 00:48:115000, 48115000
Sensor_1, Active, 0.12 , -0.22, 1.29 , 26.24  , 12.99  , 172.18 , 00:48:215000, 48215000
Sensor_1, Active, -0.04, -0.26, 1.19 , 26.88  , 54.06  , 206.51 , 00:48:315000, 48315000
Sensor_1, Active, -0.11, -0.33, 1.01 , -5.43  , -8.44  , 155.66 , 00:48:415000, 48415000
Sensor_1, Active, -0.27, -0.23, 1.05 , 24.61  , 145.10 , 113.34 , 00:48:515000, 48515000
Sensor_1, Active, -0.52, -0.03, 0.81 , -137.88, 176.50 , 200.81 , 00:48:615000, 48615000
Sensor_1, Active, -0.77, -0.20, 0.52 , -250.14, -86.31 , 250.13 , 00:48:715000, 48715000
Sensor_1, Active, -0.65, -0.16, 0.97 , 250.13 , 77.18  , 158.09 , 00:48:816000, 48816000
Sensor_1, Active, -0.73, 0.40 , 0.65 , -33.47 , 52.25  , 40.87  , 00:48:915000, 48915000
Sensor_1, Active, -0.72, 0.47 , 0.62 , -51.91 , 2.09   , 56.82  , 00:49:015000, 49015000
