ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,0.10,0.17,1.06,-4.33,-1.78,-1.38,01:02:366000,62366000
Sensor_1,Active,0.10,0.17,1.06,-4.41,-1.82,-1.34,01:02:465000,62465000
Sensor_1,Active,0.12,0.17,1.07,-4.40,-1.86,-1.44,01:02:565000,62565000
Sensor_1,Active,0.10,0.18,1.07,-4.37,-1.90,-1.37,01:02:665000,62665000
Sensor_1,Active,0.11,0.18,1.07,-4.38,-1.88,-1.53,01:02:765000,62765000
Sensor_1,Active,0.11,0.18,1.06,-4.56,-1.82,-1.48,01:02:865000,62865000
Sensor_1,Active,0.11,0.17,1.06,-4.55,-1.77,-1.35,01:02:965000,62965000
Sensor_1,Active,0.11,0.18,1.08,-4.28,-1.79,-1.43,01:03:065000,63065000
Sensor_1,Active,0.11,0.17,1.07,-4.34,-1.86,-1.32,01:03:165000,63165000
Sensor_1,Active,0.10,0.17,1.07,-4.34,-1.66,-1.35,01:03:265000,63265000
Sensor_1,Active,0.10,0.19,1.07,-4.46,-1.91,-1.32,01:03:365000,63365000
Sensor_1,Active,0.10,0.18,1.06,-4.14,-1.62,-1.36,01:03:465000,63465000
Sensor_1,Active,0.10,0.18,1.07,-4.35,-1.92,-1.38,01:03:565000,63565000
Sensor_1,Active,0.10,0.18,1.06,-4.30,-1.71,-1.52,01:03:665000,63665000
Sensor_1,Active,0.10,0.17,1.07,-4.31,-1.93,-1.34,01:03:766000,63766000
Sensor_1,Active,0.11,0.18,1.06,-4.37,-1.78,-1.39,01:03:865000,63865000
Sensor_1,Active,0.10,0.18,1.06,-4.44,-1.79,-1.30,01:03:965000,63965000
Sensor_1,Active,0.10,0.18,1.06,-4.33,-1.82,-1.36,01:04:065000,64065000
Sensor_1,Active,0.11,0.17,1.07,-4.41,-1.75,-1.50,01:04:165000,64165000
Sensor_1,Active,0.10,0.19,1.07,-4.32,-1.82,-1.27,01:04:265000,64265000
Sensor_1,Active,0.11,0.18,1.07,-4.44,-1.93,-1.36,01:04:365000,64365000
Sensor_1,Active,0.11,0.18,1.07,-4.50,-1.83,-1.43,01:04:465000,64465000
Sensor_1,Active,0.10,0.18,1.07,-4.37,-1.96,-1.44,01:04:565000,64565000
Sensor_1,Active,0.11,0.18,1.07,-4.49,-1.93,-1.59,01:04:665000,64665000
Sensor_1,Active,0.11,0.18,1.06,-4.53,-2.04,-1.51,01:04:765000,64765000
Sensor_1,Active,0.10,0.18,1.07,-4.34,-1.79,-1.30,01:04:865000,64865000
Sensor_1,Active,0.11,0.18,1.07,-4.43,-1.89,-1.50,01:04:965000,64965000
Sensor_1,Active,0.10,0.18,1.06,-4.35,-2.09,-1.43,01:05:065000,65065000
Sensor_1,Active,0.10,0.18,1.07,-4.47,-1.95,-1.40,01:05:165000,65165000
Sensor_1,Active,0.10,0.18,1.06,-4.42,-1.80,-1.33,01:05:265000,65265000
Sensor_1,Active,0.10,0.18,1.06,-4.33,-2.05,-1.33,01:05:365000,65365000
Sensor_1,Active,0.11,0.18,1.07,-4.50,-1.85,-1.27,01:05:465000,65465000
Sensor_1,Active,0.10,0.19,1.07,-4.48,-1.67,-1.42,01:05:565000,65565000
Sensor_1,Active,0.11,0.18,1.07,-4.47,-1.73,-1.44,01:05:665000,65665000
Sensor_1,Active,0.10,0.18,1.06,-4.33,-1.75,-1.32,01:05:765000,65765000
Sensor_1,Active,0.11,0.18,1.06,-4.47,-1.94,-1.50,01:05:865000,65865000
Sensor_1,Active,0.10,0.18,1.06,-4.37,-1.84,-1.32,01:05:965000,65965000
Sensor_1,Active,0.10,0.18,1.07,-4.38,-1.92,-1.61,01:06:065000,66065000
Sensor_1,Active,0.10,0.18,1.06,-4.46,-1.84,-1.35,01:06:165000,66165000
Sensor_1,Active,0.11,0.18,1.07,-4.43,-2.01,-1.54,01:06:265000,66265000
Sensor_1,Active,0.11,0.19,1.06,-4.45,-1.82,-1.27,01:06:365000,66365000
Sensor_1,Active,0.11,0.18,1.07,-4.44,-1.89,-1.46,01:06:465000,66465000
Sensor_1,Active,0.11,0.18,1.07,-4.40,-1.82,-1.44,01:06:565000,66565000
Sensor_1,Active,0.11,0.18,1.07,-4.41,-2.01,-1.59,01:06:665000,66665000
Sensor_1,Active,0.11,0.18,1.07,-4.34,-1.65,-1.56,01:06:765000,66765000
Sensor_1,Active,0.11,0.18,1.07,-4.30,-1.89,-1.46,01:06:865000,66865000
Sensor_1,Active,0.10,0.18,1.07,-4.33,-1.83,-1.39,01:06:965000,66965000
Sensor_1,Active,0.11,0.19,1.07,-4.30,-1.78,-1.31,01:07:065000,67065000
Sensor_1,Active,0.10,0.18,1.06,-4.30,-1.79,-1.27,01:07:165000,67165000
Sensor_1,Active,0.11,0.18,1.06,-4.25,-1.91,-1.29,01:07:265000,67265000
Sensor_1,Active,0.11,0.19,1.06,-4.30,-1.85,-1.37,01:07:365000,67365000
Sensor_1,Active,0.10,0.18,1.07,-4.50,-1.73,-1.22,01:07:465000,67465000
Sensor_1,Active,0.11,0.18,1.06,-4.41,-1.71,-1.38,01:07:565000,67565000
Sensor_1,Active,0.11,0.18,1.07,-4.43,-1.82,-1.50,01:07:665000,67665000
Sensor_1,Active,0.10,0.18,1.07,-4.37,-1.83,-1.53,01:07:765000,67765000
Sensor_1,Active,0.11,0.18,1.07,-4.66,-1.63,-1.51,01:07:865000,67865000
Sensor_1,Active,0.10,0.18,1.07,-4.37,-1.89,-1.43,01:07:966000,67966000
Sensor_1,Active,0.10,0.19,1.06,-4.44,-1.93,-1.33,01:08:065000,68065000
Sensor_1,Active,0.11,0.18,1.07,-4.42,-1.70,-1.37,01:08:165000,68165000
Sensor_1,Active,0.11,0.18,1.06,-4.47,-1.85,-1.30,01:08:265000,68265000
Sensor_1,Active,0.10,0.19,1.07,-4.50,-1.93,-1.37,01:08:365000,68365000
Sensor_1,Active,0.10,0.19,1.07,-4.42,-1.89,-1.50,01:08:465000,68465000
Sensor_1,Active,0.10,0.18,1.07,-4.50,-1.79,-1.24,01:08:565000,68565000
Sensor_1,Active,0.10,0.19,1.07,-4.46,-1.77,-1.18,01:08:665000,68665000
Sensor_1,Active,0.10,0.18,1.06,-4.42,-1.67,-1.45,01:08:765000,68765000
