ID      , Status, AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Timestamp   , Timestamp_us
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.35 , -1.50 , -1.32 , 00:19:597000, 19597000
Sensor_1, Active, -0.11, 0.04 , 1.05 , -4.25 , -1.44 , -1.25 , 00:19:697000, 19697000
Sensor_1, Active, -0.10, 0.04 , 1.06 , -4.37 , -1.57 , -1.28 , 00:19:797000, 19797000
Sensor_1, Active, -0.11, 0.03 , 1.06 , -4.16 , -1.51 , -1.24 , 00:19:897000, 19897000
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.30 , -1.64 , -1.29 , 00:19:997000, 19997000
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.29 , -1.64 , -1.41 , 00:20:098000, 20098000
Sensor_1, Active, -0.11, 0.04 , 1.05 , -4.34 , -1.54 , -1.31 , 00:20:197000, 20197000
Sensor_1, Active, -0.10, 0.04 , 1.06 , -4.45 , -1.59 , -1.26 , 00:20:297000, 20297000
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.30 , -1.70 , -1.30 , 00:20:397000, 20397000
Sensor_1, Active, -0.10, 0.04 , 1.06 , -4.43 , -1.63 , -1.21 , 00:20:497000, 20497000
Sensor_1, Active, -0.11, 0.03 , 1.06 , -4.40 , -1.66 , -1.30 , 00:20:597000, 20597000
Sensor_1, Active, -0.11, 0.03 , 1.06 , -4.38 , -1.66 , -1.29 , 00:20:697000, 20697000
Sensor_1, Active, -0.10, 0.04 , 1.06 , -4.34 , -1.72 , -1.29 , 00:20:797000, 20797000
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.37 , -1.69 , -1.23 , 00:20:897000, 20897000
Sensor_1, Active, -0.11, 0.04 , 1.05 , -4.29 , -1.64 , -1.28 , 00:20:997000, 20997000
Sensor_1, Active, -0.11, 0.04 , 1.07 , -4.41 , -1.65 , -1.27 , 00:21:097000, 21097000
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.35 , -1.56 , -1.20 , 00:21:197000, 21197000
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.37 , -1.70 , -1.18 , 00:21:297000, 21297000
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.37 , -1.84 , -1.18 , 00:21:397000, 21397000
Sensor_1, Active, -0.11, 0.04 , 1.05 , -4.38 , -1.62 , -1.47 , 00:21:497000, 21497000
Sensor_1, Active, -0.11, 0.04 , 1.07 , -4.24 , -1.61 , -1.26 , 00:21:597000, 21597000
Sensor_1, Active, -0.11, 0.03 , 1.06 , -4.28 , -1.59 , -1.26 , 00:21:697000, 21697000
Sensor_1, Active, -0.11, 0.04 , 1.06 , -4.43 , -1.79 , -1.27 , 00:21:797000, 21797000
