ID      , Status, AccX , AccY , AccZ , GyroX  , GyroY  , GyroZ  , Timestamp   , Timestamp_us
Sensor_1, Active, -0.05, -0.00, 1.08 , -4.30  , -1.69  , -1.30  , 00:19:563000, 19563000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.24  , -1.89  , -1.40  , 00:19:663000, 19663000
Sensor_1, Active, -0.06, -0.01, 1.07 , -4.31  , -1.87  , -1.38  , 00:19:763000, 19763000
Sensor_1, Active, -0.06, -0.01, 1.06 , -4.37  , -1.94  , -1.37  , 00:19:863000, 19863000
Sensor_1, Active, -0.06, -0.01, 1.07 , -4.24  , -1.84  , -1.32  , 00:19:963000, 19963000
Sensor_1, Active, -0.04, -0.01, 1.07 , -4.22  , -1.63  , -1.34  , 00:20:063000, 20063000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.32  , -2.00  , -1.30  , 00:20:163000, 20163000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.27  , -1.82  , -1.34  , 00:20:263000, 20263000
Sensor_1, Active, -0.06, -0.00, 1.07 , -4.32  , -1.87  , -1.50  , 00:20:363000, 20363000
Sensor_1, Active, -0.05, -0.01, 1.06 , -4.33  , -1.85  , -1.47  , 00:20:463000, 20463000
Sensor_1, Active, -0.06, -0.01, 1.08 , -4.41  , -1.81  , -1.23  , 00:20:563000, 20563000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.18  , -1.79  , -1.27  , 00:20:663000, 20663000
Sensor_1, Active, -0.05, -0.00, 1.06 , -4.26  , -1.77  , -1.42  , 00:20:763000, 20763000
Sensor_1, Active, -0.05, -0.00, 1.06 , -4.24  , -1.84  , -1.41  , 00:20:863000, 20863000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.24  , -1.78  , -1.20  , 00:20:963000, 20963000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.34  , -1.79  , -1.35  , 00:21:064000, 21064000
Sensor_1, Active, -0.05, -0.00, 1.06 , -4.37  , -1.94  , -1.45  , 00:21:163000, 21163000
Sensor_1, Active, -0.06, -0.00, 1.08 , -4.17  , -1.84  , -1.17  , 00:21:263000, 21263000
Sensor_1, Active, -0.06, -0.00, 1.06 , -4.23  , -1.66  , -1.39  , 00:21:363000, 21363000
Sensor_1, Active, -0.05, -0.00, 1.07 , -4.21  , -1.75  , -1.47  , 00:21:463000, 21463000
Sensor_1, Active, -0.05, -0.00, 1.07 , -4.40  , -1.79  , -1.33  , 00:21:563000, 21563000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.26  , -1.74  , -1.38  , 00:21:663000, 21663000
Sensor_1, Active, -0.05, -0.00, 1.06 , -4.17  , -1.73  , -1.24  , 00:21:763000, 21763000
Sensor_1, Active, -0.06, -0.01, 1.07 , -4.25  , -1.71  , -1.30  , 00:21:863000, 21863000
Sensor_1, Active, -0.06, -0.01, 1.06 , -4.30  , -1.79  , -1.43  , 00:21:963000, 21963000
Sensor_1, Active, -0.05, -0.00, 1.07 , -4.30  , -1.91  , -1.36  , 00:22:063000, 22063000
Sensor_1, Active, -0.05, -0.01, 1.06 , -4.30  , -1.75  , -1.26  , 00:22:163000, 22163000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.18  , -1.71  , -1.34  , 00:22:263000, 22263000
Sensor_1, Active, -0.05, -0.01, 1.06 , -4.29  , -1.72  , -1.36  , 00:22:363000, 22363000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.28  , -1.82  , -1.43  , 00:22:463000, 22463000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.24  , -1.73  , -1.41  , 00:22:563000, 22563000
Sensor_1, Active, -0.05, 0.00 , 1.07 , -4.28  , -1.89  , -1.45  , 00:22:663000, 22663000
Sensor_1, Active, -0.05, -0.00, 1.07 , -4.38  , -1.72  , -1.29  , 00:22:763000, 22763000
Sensor_1, Active, -0.05, -0.01, 1.08 , -4.26  , -1.70  , -1.43  , 00:22:863000, 22863000
Sensor_1, Active, -0.05, -0.00, 1.07 , -4.37  , -1.75  , -1.34  , 00:22:963000, 22963000
Sensor_1, Active, -0.06, -0.01, 1.07 , -4.21  , -1.86  , -1.50  , 00:23:063000, 23063000
Sensor_1, Active, -0.06, -0.01, 1.07 , -4.34  , -1.85  , -1.34  , 00:23:163000, 23163000
Sensor_1, Active, -0.05, -0.01, 1.06 , -4.25  , -1.71  , -1.50  , 00:23:263000, 23263000
Sensor_1, Active, -0.06, 0.00 , 1.08 , -4.34  , -1.88  , -1.26  , 00:23:363000, 23363000
Sensor_1, Active, -0.06, -0.01, 1.06 , -4.39  , -2.00  , -1.59  , 00:23:463000, 23463000
Sensor_1, Active, -0.05, 0.00 , 1.07 , -4.30  , -1.79  , -1.60  , 00:23:563000, 23563000
Sensor_1, Active, -0.07, -0.01, 1.07 , -4.18  , -1.77  , -1.43  , 00:23:663000, 23663000
Sensor_1, Active, -0.04, -0.02, 1.07 , -4.35  , -1.72  , -1.24  , 00:23:763000, 23763000
Sensor_1, Active, -0.05, -0.00, 1.06 , -4.32  , -1.84  , -1.52  , 00:23:863000, 23863000
Sensor_1, Active, -0.06, -0.01, 1.07 , -4.18  , -1.81  , -1.32  , 00:23:963000, 23963000
Sensor_1, Active, -0.05, -0.01, 1.06 , -4.17  , -1.79  , -1.44  , 00:24:063000, 24063000
Sensor_1, Active, -0.05, -0.01, 1.08 , -4.13  , -2.05  , -1.41  , 00:24:163000, 24163000
Sensor_1, Active, -0.05, -0.00, 1.07 , -4.27  , -1.83  , -1.29  , 00:24:263000, 24263000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.27  , -1.79  , -1.35  , 00:24:363000, 24363000
Sensor_1, Active, -0.05, -0.01, 1.07 , -4.33  , -1.82  , -1.32  , 00:24:463000, 24463000
