ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,-0.07,-0.01,1.06,-3.95,-1.82,-1.46,00:25:021000,25021000
Sensor_1,Active,-0.07,-0.01,1.07,-3.92,-1.90,-1.39,00:25:121000,25121000
Sensor_1,Active,-0.07,-0.01,1.07,-4.06,-1.95,-1.42,00:25:221000,25221000
Sensor_1,Active,-0.08,-0.02,1.07,-4.04,-1.97,-1.49,00:25:321000,25321000
Sensor_1,Active,-0.08,-0.01,1.06,-3.84,-1.92,-1.53,00:25:421000,25421000
Sensor_1,Active,-0.08,-0.01,1.07,-3.98,-2.08,-1.26,00:25:521000,25521000
Sensor_1,Active,-0.07,-0.01,1.08,-4.05,-1.85,-1.63,00:25:621000,25621000
Sensor_1,Active,-0.07,-0.01,1.07,-4.05,-2.00,-1.64,00:25:721000,25721000
Sensor_1,Active,-0.07,-0.00,1.07,-4.29,-1.60,-1.56,00:25:821000,25821000
Sensor_1,Active,-0.07,-0.01,1.06,-4.18,-1.88,-1.51,00:25:921000,25921000
Sensor_1,Active,-0.08,-0.01,1.07,-4.06,-2.01,-1.50,00:26:021000,26021000
Sensor_1,Active,-0.07,-0.02,1.08,-3.82,-2.02,-1.50,00:26:121000,26121000
Sensor_1,Active,-0.07,-0.01,1.07,-3.88,-1.89,-1.46,00:26:221000,26221000
Sensor_1,Active,-0.07,-0.01,1.07,-4.21,-2.05,-1.33,00:26:321000,26321000
Sensor_1,Active,-0.07,-0.01,1.07,-4.01,-1.83,-1.49,00:26:421000,26421000
Sensor_1,Active,-0.07,-0.01,1.07,-3.98,-2.12,-1.37,00:26:521000,26521000
Sensor_1,Active,-0.07,-0.01,1.06,-4.01,-1.70,-1.45,00:26:621000,26621000
Sensor_1,Active,-0.07,-0.01,1.07,-4.03,-1.83,-1.57,00:26:721000,26721000
Sensor_1,Active,-0.08,-0.01,1.06,-4.04,-1.98,-1.63,00:26:821000,26821000
Sensor_1,Active,-0.07,-0.01,1.07,-3.89,-1.79,-1.49,00:26:921000,26921000
