Timestamp_Local, NodeID, ax , ay  , az  , gx , gy , gz          , Timestamp_Node
Sensor1        , 3715  , 413, 2362, -132, -72, -53, 00:04:739000,
Sensor1        , 3719  , 414, 2351, -135, -72, -52, 00:04:848000,
Sensor1        , 3721  , 445, 2349, -130, -76, -50, 00:04:953000,
Sensor1        , 3719  , 419, 2355, -130, -69, -52, 00:05:058000,
Sensor1        , 3718  , 432, 2336, -132, -66, -46, 00:05:163000,
Sensor1        , 3712  , 394, 2339, -129, -76, -50, 00:05:268000,
Sensor1        , 3700  , 410, 2311, -135, -74, -49, 00:05:373000,
Sensor1        , 3711  , 422, 2351, -130, -74, -45, 00:05:477000,
Sensor1        , 3696  , 408, 2333, -128, -72, -50, 00:05:582000,
Sensor1        , 3716  , 395, 2337, -135, -74, -50, 00:05:687000,
Sensor1        , 3721  , 416, 2318, -132, -73, -53, 00:05:792000,
Sensor1        , 3720  , 440, 2354, -133, -69, -46, 00:05:897000,
Sensor1        , 3686  , 409, 2359, -134, -77, -50, 00:06:001000,
Sensor1        , 3727  , 417, 2337, -128, -65, -47, 00:06:106000,
Sensor1        , 3723  , 412, 2338, -128, -66, -50, 00:06:211000,
Sensor1        , 3715  , 432, 2341, -131, -73, -47, 00:06:316000,
Sensor1        , 3734  , 415, 2379, -132, -70, -50, 00:06:421000,
Sensor1        , 3710  , 446, 2335, -132, -68, -47, 00:06:525000,
Sensor1        , 3728  , 401, 2312, -131, -75, -53, 00:06:630000,
Sensor1        , 3716  , 421, 2341, -129, -72, -51, 00:06:735000,
Sensor1        , 3726  , 420, 2345, -136, -70, -50, 00:06:840000,
Sensor1        , 3715  , 404, 2353, -129, -67, -50, 00:06:944000,
Sensor1        , 3722  , 420, 2331, -130, -70, -51, 00:07:049000,
Sensor1        , 3703  , 423, 2340, -127, -74, -54, 00:07:154000,
Sensor1        , 3692  , 413, 2346, -128, -71, -47, 00:07:258000,
Sensor1        , 3706  , 418, 2334, -130, -70, -52, 00:07:363000,
