Timestamp_Local, NodeID, ax  , ay  , az  , gx  , gy  , gz          , Timestamp_Node
Sensor1        , 3717  , 420 , 2390, -135, -68 , -49 , 01:28:457000, 
Sensor1        , 3747  , 420 , 2308, -127, -63 , -49 , 01:28:566000, 
Sensor1        , 3702  , 402 , 2351, -130, -75 , -46 , 01:28:671000, 
Sensor1        , 3729  , 425 , 2298, -137, -75 , -52 , 01:28:776000, 
Sensor1        , 3696  , 410 , 2324, -132, -69 , -50 , 01:28:881000, 
Sensor1        , 3708  , 413 , 2343, -125, -72 , -50 , 01:28:986000, 
Sensor1        , 3760  , 407 , 2348, -129, -67 , -45 , 01:29:090000, 
Sensor1        , 3708  , 416 , 2331, -133, -65 , -42 , 01:29:195000, 
Sensor1        , 3743  , 403 , 2352, -133, -67 , -47 , 01:29:300000, 
Sensor1        , 3712  , 387 , 2323, -133, -64 , -53 , 01:29:405000, 
Sensor1        , 3730  , 421 , 2318, -134, -68 , -47 , 01:29:509000, 
Sensor1        , 3746  , 393 , 2312, -136, -73 , -54 , 01:29:614000, 
Sensor1        , 3727  , 408 , 2317, -132, -76 , -52 , 01:29:719000, 
Sensor1        , 3729  , 383 , 2283, -127, -74 , -47 , 01:29:824000, 
Sensor1        , 3711  , 408 , 2314, -136, -69 , -46 , 01:29:929000, 
Sensor1        , 3706  , 391 , 2329, -132, -70 , -49 , 01:30:033000, 
Sensor1        , 3705  , 419 , 2337, -136, -62 , -50 , 01:30:139000, 
Sensor1        , 3717  , 406 , 2289, -126, -66 , -47 , 01:30:245000, 
Sensor1        , 3725  , 398 , 2343, -132, -70 , -52 , 01:30:349000, 
Sensor1        , 3714  , 394 , 2345, -137, -72 , -49 , 01:30:454000, 
Sensor1        , 3719  , 420 , 2377, -129, -70 , -52 , 01:30:559000, 
Sensor1        , 3723  , 420 , 2351, -135, -73 , -48 , 01:30:664000, 
Sensor1        , 3713  , 382 , 2327, -136, -66 , -45 , 01:30:769000, 
Sensor1        , 3728  , 392 , 2360, -130, -66 , -51 , 01:30:873000, 
Sensor1        , 3704  , 418 , 2357, -127, -69 , -50 , 01:30:978000, 
Sensor1        , 3730  , 396 , 2329, -135, -71 , -50 , 01:31:083000, 
Sensor1        , 3703  , 421 , 2323, -131, -68 , -49 , 01:31:188000, 
Sensor1        , 3721  , 402 , 2358, -131, -71 , -44 , 01:31:293000, 
Sensor1        , 3723  , 427 , 2321, -132, -69 , -48 , 01:31:398000, 
Sensor1        , 3706  , 408 , 2333, -130, -70 , -47 , 01:31:502000, 
Sensor1        , 3710  , 433 , 2355, -137, -68 , -50 , 01:31:607000, 
Sensor1        , 3720  , 401 , 2323, -131, -76 , -52 , 01:31:712000, 
Sensor1        , 3730  , 388 , 2298, -131, -72 , -49 , 01:31:817000, 
Sensor1        , 3748  , 432 , 2365, -132, -68 , -50 , 01:31:922000, 
Sensor1        , 3727  , 407 , 2335, -129, -71 , -51 , 01:32:027000, 
Sensor1        , 3728  , 427 , 2304, -131, -62 , -53 , 01:32:132000, 
Sensor1        , 3704  , 407 , 2335, -131, -70 , -47 , 01:32:237000, 
Sensor1        , 3700  , 435 , 2303, -132, -68 , -47 , 01:32:341000, 
Sensor1        , 3722  , 412 , 2293, -129, -69 , -51 , 01:32:446000, 
Sensor1        , 3726  , 394 , 2337, -130, -69 , -51 , 01:32:551000, 
Sensor1        , 3730  , 374 , 2334, -134, -71 , -50 , 01:32:656000, 
Sensor1        , 3713  , 391 , 2326, -131, -72 , -47 , 01:32:761000, 
Sensor1        , 3721  , 403 , 2314, -132, -73 , -51 , 01:32:866000, 
Sensor1        , 3693  , 420 , 2356, -132, -65 , -45 , 01:32:970000, 
Sensor1        , 3719  , 418 , 2311, -132, -65 , -51 , 01:33:180000, 
Sensor1        , 3747  , 437 , 2336, -131, -76 , -45 , 01:33:285000, 
Sensor1        , 3764  , 415 , 2304, -123, -70 , -57 , 01:33:390000, 
Sensor1        , 3723  , 423 , 2320, -132, -72 , -43 , 01:33:495000, 
Sensor1        , 3710  , 397 , 2305, -134, -73 , -47 , 01:33:599000, 
Sensor1        , 3716  , 389 , 2299, -133, -78 , -51 , 01:33:704000, 
Sensor1        , 3706  , 403 , 2320, -129, -65 , -46 , 01:33:809000, 
Sensor1        , 3743  , 400 , 2332, -135, -71 , -45 , 01:33:914000, 
Sensor1        , 3723  , 433 , 2368, -130, -73 , -51 , 01:34:019000, 
Sensor1        , 3458  , 391 , 2639, -140, -62 , -51 , 01:34:123000, 
Sensor1        , 3705  , 433 , 2406, -136, -25 , -57 , 01:34:228000, 
Sensor1        , 3741  , 429 , 2259, -138, -24 , -54 , 01:34:333000, 
Sensor1        , 3752  , 388 , 2073, -134, -98 , -39 , 01:34:438000, 
Sensor1        , 3885  , 400 , 2009, -123, -145, -36 , 01:34:543000, 
Sensor1        , 3715  , 397 , 2279, -132, -145, -34 , 01:34:648000, 
